Gene	Protein.names	Glucose	Glucose1	Glucose2	Glucose3	Glucose4	NoGlucose	NoGlucose1	NoGlucose2	NoGlucose3	NoGlucose4
PLEKHG3	Pleckstrin homology domain-containing family G member 3	11.7949946591896	11.3255686270664	11.6040486417439	11.5231271847103	11.8041847630341	11.5992454863483	11.4434136184503	12.0285345907975	11.6815081356014	11.3557514924474
PLEKHG3	Pleckstrin homology domain-containing family G member 3	13.481570460654	13.7363809321609	13.5143233246725	13.2011246484717	13.3044286755131	13.8228636038539	14.0002530272184	14.2837665943544	13.6233874710563	13.4929822001956
PLEKHG3	Pleckstrin homology domain-containing family G member 3	12.7781035935297	12.9961040288013	12.8460833995619	13.1995093819566	12.7521693075659	12.8802128338918	12.5841500007437	12.8263774826306	12.8658806033857	13.2050318175094
PLEKHG3	Pleckstrin homology domain-containing family G member 3	13.2656171838004	12.8786948843645	13.2749942332623	13.4213399867728	13.1110438283132	13.4691474776655	13.358158896418	13.2157080905835	13.5221683536343	13.55029468905
CCDC85C	Coiled-coil domain-containing protein 85C	14.2184240924559	13.8939311383635	14.0889737775205	14.1633251919721	14.0829715267653	14.0358968443522	14.1137313465024	14.1498637275148	14.3652728995353	14.0801354227309
EIF3C	Eukaryotic translation initiation factor 3 subunit C;Eukaryotic translation initiation factor 3 subunit C-like protein	13.0482527636913	12.8623665500256	13.1122020866198	13.1460803797303	12.8882913527891	12.8281217331254	12.6513537774583	12.6867201774063	12.9827086789544	13.078259727484
PSMD11	26S proteasome non-ATPase regulatory subunit 11	14.2316067140648	13.9658653130358	13.9710855504913	13.6662350051949	13.5385518768078	12.6607895399302	12.7539268012344	12.6629066709647	13.1835731352891	12.9752200648059
SUPT5H	Transcription elongation factor SPT5	10.8256635417744	10.6958554780458	10.8036256873404	10.9281352540269	10.5621483674035	10.691784655046	10.5621483674035	11.313593280827	10.4211597203125	10.8660346875599
BIN1	Myc box-dependent-interacting protein 1	15.6620965013187	15.8141233329243	15.5475868904602	15.5028739955739	15.7144280611239	15.4515077563651	15.1500316287447	15.3326403567123	15.5815968989179	15.459169539619
BIN1	Myc box-dependent-interacting protein 1	14.8322404414736	15.1122142815012	14.8306816385159	14.9057698963025	14.9400281968464	14.559705160797	14.4814323242574	14.5627859310085	14.868806209036	14.7411356823407
BIN1	Myc box-dependent-interacting protein 1	12.2738295810338	12.0061138987901	12.1593962842182	12.1896328819182	12.4220988592214	12.157343701175	12.0556817879004	12.070277178652	12.0076295825793	11.9033008069361
BCL9	B-cell CLL/lymphoma 9 protein	13.8630862593166	14.2466632220666	13.9554182018536	14.1082801212529	14.1628726311719	14.1040801991334	13.9900232024492	14.1758816195314	14.1250106860104	14.1082801212529
SDCBP	Syntenin-1	12.6932823218551	12.8515305526452	12.755256472869	12.8933845117412	12.8898759472115	12.7887613052537	12.6150920070164	12.4556514262785	12.6585505735736	12.7478212752072
DDX3X	ATP-dependent RNA helicase DDX3X	11.9660845356004	12.1553524507383	12.2423632466726	12.3050683050831	12.1336819431962	11.6536333800063	11.9573422842171	11.4841483892748	12.1284993935738	11.739109948082
DDX3X	ATP-dependent RNA helicase DDX3X	14.5411762254496	14.4102012649059	14.6027079640952	14.7468373337125	14.7034975062752	13.7380008339288	13.9340351091317	13.3452520735438	14.1924871476009	14.3146992764105
DDX3X	ATP-dependent RNA helicase DDX3X	13.3295227310684	13.3372273713091	13.1433710571254	13.3812929047023	13.4750737762611	12.1827120462071	12.3306220640949	11.9276703738257	12.9366180381987	12.8203811768069
DDX3X	ATP-dependent RNA helicase DDX3X	11.7745320002509	12.260601397496	11.5541617313878	11.833598962331	11.9033008069361	10.7760566642152	10.7869276075397	10.8486169064807	11.5194908415971	11.5730055081765
DDX3X	ATP-dependent RNA helicase DDX3X	12.8658806033857	12.805127611614	12.600349997722	12.7725626648292	12.7437372956624	12.6978870000767	13.0851375133733	12.9779590762638	13.0445407873479	13.1479083313365
