Gene	Protein.names	Glucose	Glucose1	Glucose2	Glucose3	Glucose4	NoGlucose	NoGlucose1	NoGlucose2	NoGlucose3	NoGlucose4
NBPF19	Neuroblastoma breakpoint family member 15;Neuroblastoma breakpoint family member 10;Putative neuroblastoma breakpoint family member 8;Neuroblastoma breakpoint family member 26;Neuroblastoma breakpoint family member 14;Neuroblastoma breakpoint family member 12	3.58722334396196	9.67177521861793	8.31937594997482	7.40905652119056	9.53101875785002	10.0172353188044	8.07218846922306	8.39570984785612	7.82322438051982	9.76285801371873
UBE2L3	Ubiquitin-conjugating enzyme E2 L3	14.8201722510777	14.6278185039765	14.9283454718814	14.8857706571388	14.8741861437385	14.6776770425923	14.5968170933805	14.7693030322009	14.7330473134442	14.7275986356359
RBM47	RNA-binding protein 47	17.0105545447801	17.0057639586671	16.9113248620827	17.0343822447881	17.0405321783275	17.184032858073	17.184032858073	17.1510949046967	17.1971494401379	17.1524688730049
TTC26	Intraflagellar transport protein 56	11.8629275843892	11.7280467626231	11.9172214498145	12.0813753049405	11.8321570937262	11.9831610081537	11.8259333056835	12.2254274938061	11.6311161092127	11.8719328468253
UBA6	Ubiquitin-like modifier-activating enzyme 6	18.495859266649	18.218125248716	18.337082044504	18.3893419025617	18.3117873072577	17.9472907023786	17.8504951716094	17.9699166514075	17.9716810012696	18.0669981390731
ESYT2	Extended synaptotagmin-2	18.9116646912145	18.8662038567671	19.0256817500879	18.8903653478132	18.8662038567671	18.8838981645544	18.8701860713734	18.8994393590112	18.9073267637977	18.8507599867973
MED19	Mediator of RNA polymerase II transcription subunit 19	13.886310272065	14.1936519155166	13.8918025652911	13.8253292844368	13.9428468606662	14.0551256119572	14.4158400404465	14.1707349589069	14.1511626120679	14.1005105655913
UHRF1BP1L	UHRF1-binding protein 1-like	12.1432788028611	12.383844209059	12.0884306986229	12.3793625679298	12.4326624235448	11.7846156681684	11.9601370845953	11.9363549606833	11.8904684531712	11.9601370845953
KIAA1598	Shootin-1	16.3285646187047	16.3534037760815	16.2786472026469	16.3649493987124	16.3247082850356	16.0543275579722	15.9860494051996	16.0385637697059	16.1049811996396	16.1389347725963
TMEM223	Transmembrane protein 223	12.1563845192231	12.2562371745858	12.1122095170163	12.3139706629629	12.395884577428	12.2197970188463	12.5459655338378	12.3001003310299	12.5891349296931	12.5825567994847
ARHGAP10	Rho GTPase-activating protein 10	14.9976945120644	15.192778515827	15.2963051602302	15.0484563991442	15.2049992166569	15.4849572251724	15.5723988194741	15.3185731349292	15.4162944182461	15.5748151710347
ILVBL	Acetolactate synthase-like protein	18.0105827652396	17.9886013884944	18.0691638223517	18.0046745686028	18.047960938173	17.9059140084049	17.9361857545787	17.8504951716094	17.9541151110239	17.9123707093545
C1orf226	Uncharacterized protein C1orf226	12.8540831325227	12.8213037532772	12.9583199047518	13.0427434240309	13.2577581023733	12.8356572475929	12.6673194020443	12.5638519643428	12.8303543075958	12.7955663966089
PLEKHG3	Pleckstrin homology domain-containing family G member 3	14.1976636351047	14.0749352298676	13.9082382661264	13.9952410718176	13.9184481554929	13.9286505662109	14.2034962769696	13.9184481554929	13.9436474412463	14.1019581297787
ELOVL7	Elongation of very long chain fatty acids protein 7	10.3678521225919	10.4999968062294	10.3678521225919	10.0923835638667	9.97400710209822	10.3266764518829	10.1973303225594	10.15727596448	10.4513298634137	10.3144048289549
CXorf23	Uncharacterized protein CXorf23	15.5268691532601	15.6814150302768	15.651425566106	15.556452160123	15.6348012967488	15.886339750383	15.8195342748726	15.9197254922273	15.8416170214362	15.7977348329115
NBAS	Neuroblastoma-amplified sequence	17.9348414030267	17.9485553029919	18.0031817352784	17.8814016045217	17.8868017898213	17.9902291679935	18.0002288167572	17.9978203781446	18.0134337889481	18.0162651792617
DENND3	DENN domain-containing protein 3	10.1379581194897	8.25407432141031	8.66508303771695	11.0962610126887	10.4913665513637	10.6060875869423	10.15727596448	10.0041459269233	10.6675379047555	10.2113023271904
KIAA0922	Transmembrane protein 131-like	13.591111769574	13.3490900747419	13.684708255907	13.4837173832196	13.5156226877145	13.9265128966812	13.8910354842334	13.7102366897108	13.923583433578	13.9077529381152
VWA8	von Willebrand factor A domain-containing protein 8	17.4827789345638	17.7358734761957	17.6710526654553	17.6569332451701	17.5330952986324	17.5223023318819	17.4761526138176	17.3829253515233	17.5909000579653	17.6569332451701
SBNO1	Protein strawberry notch homolog 1	13.0571943295289	13.684708255907	13.1138974485657	13.1525557271492	13.2247830102651	13.4211130216014	13.285059252474	13.1743372180045	13.1087752597886	13.4007252943557
GTPBP10	GTP-binding protein 10	14.1442963117253	14.2920654208243	14.2876592704328	14.1585354830483	14.2581700332649	14.4084155409236	14.722754075406	14.6118912875149	14.3068806073007	14.3697626040277
LCHN	Protein LCHN	16.250753865943	16.236445569104	16.4731036306697	16.3952285803189	16.3561314620413	16.5841284391231	16.4973055869116	16.5102340269771	16.5264577434634	16.613224825901
VPS37C	Vacuolar protein sorting-associated protein 37C	14.7105020641714	14.8514815013927	15.0665237438208	14.8747594341797	14.8009083222319	14.7407752907329	14.4748448396259	14.3551204043482	14.5758304462027	14.4965443656395
CNOT1	CCR4-NOT transcription complex subunit 1	17.8087325433987	17.8455848631983	17.8030934337539	17.8504951716094	17.8451732111139	17.8116142027625	17.7712891678534	17.879470447997	17.8161606614973	17.8585823556288
ARHGEF35	Rho guanine nucleotide exchange factor 35	11.5539666329531	10.6675379047555	11.3520737636271	11.6448424025911	11.3698781861528	11.3504589783093	11.3119523538512	11.4128173470585	11.3963988468382	11.1141222409948
MAP1LC3A	Microtubule-associated proteins 1A/1B light chain 3A;Microtubule-associated proteins 1A/1B light chain 3B;Microtubule-associated proteins 1A/1B light chain 3 beta 2	14.8058114321859	14.8108493799682	14.9567449147219	14.7169441252943	14.577940535898	13.7627730339073	13.7335686404	13.6873914058303	13.7457503865064	13.7335686404
C2orf72	Uncharacterized protein C2orf72	13.6521896182026	13.6319867188449	13.6842773020574	13.6679581656245	13.589092613907	13.7963925604348	13.7294958803619	13.7047412776259	13.8405279314172	13.4607203763318
PGP	Phosphoglycolate phosphatase	16.6774732717167	16.4030900424013	16.4609312811491	16.5702489067612	16.6728552852734	16.3085574273242	16.0916474455721	16.4396215575073	16.2155438029797	16.3270462368342
C5orf51	UPF0600 protein C5orf51	12.9367210759427	12.5025193607364	12.7752281469845	13.0251867559879	12.9300494033946	12.8374288650973	12.7362689680904	12.8084353348401	12.5426338185919	12.6847872232953
RCCD1	RCC1 domain-containing protein 1	10.2402935433219	10.0719098462324	10.1684617094626	9.697659803517	10.6251283866998	9.73650532601902	10.4009118697376	10.8294830213453	9.94067525341359	10.4600005561815
ZNF316	Zinc finger protein 316	13.3305869904962	13.8755244528414	13.4348568979609	13.3048213875064	13.4262868191116	13.8011210004924	13.8559613324835	13.6514977171115	14.2414315468762	14.0539777703796
FBLL1	rRNA/tRNA 2-O-methyltransferase fibrillarin-like protein 1	14.7904393725295	14.9707588581164	14.8918555657529	15.0865970579837	14.9624358989465	15.0003533288401	14.9107683850448	14.8520352802353	14.9770283593978	15.0233551731885
SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	18.6456162294352	18.5610007405537	18.4862899805442	18.6576140444991	18.5855885688918	18.7083732331616	18.6004334041098	18.8221681566511	18.7351117404373	18.7254941979715
ARHGAP42	Rho GTPase-activating protein 42	14.488740433772	14.4691556006288	14.804914996341	14.5664882659547	14.5112079494834	14.6057181239725	14.5671564752411	14.5520771152333	14.5367629093876	14.5402582627467
CCDC69	Coiled-coil domain-containing protein 69	13.3863805296265	13.0155915802577	13.7182193346102	13.3941708629022	13.3563292346556	13.6202143393969	13.7619561188174	13.4093028377684	13.5712507537269	13.6254595787287
UNC119B	Protein unc-119 homolog B;Protein unc-119 homolog A	11.4278363008292	11.2822881531477	11.2331713385125	11.5705679583712	11.5592993773127	11.4620960264587	11.7538586737917	11.6531380213754	11.5091553570268	11.0039293928057
LRRC10B	Leucine-rich repeat-containing protein 10B	14.9315615904619	14.9751258317697	15.0027929754253	15.2058859735217	14.9375748344065	14.401585487481	14.2021031178532	13.9336271004404	14.4469941701921	14.6732990220579
METTL15	Probable methyltransferase-like protein 15	13.9204391239054	13.6791263425398	14.0428465937331	14.1723019062709	14.0961180741237	14.3031873714619	14.2450873199664	14.3207932978587	14.1615176172145	14.3287407283939
LIPT2	Putative lipoyltransferase 2, mitochondrial	14.4069503515084	13.8433932281659	14.5100578609124	14.6619450490945	14.2468803492802	14.3097286473581	14.3912496212027	14.4467834152087	14.560354088926	14.361282662633
CCDC85C	Coiled-coil domain-containing protein 85C	14.722754075406	14.4301853905567	14.5122054186414	14.6261279624094	14.5467583073327	14.6045863526448	14.4646260757312	14.8376458820812	14.5263543256074	14.5640942091259
SAC3D1	SAC3 domain-containing protein 1	14.9693664918091	14.7342611487979	14.831562115841	14.9315615904619	14.8295794785361	14.8371774594276	14.8473588228757	14.9011725110114	14.8142379126562	15.0079921328521
RGPD4	RanBP2-like and GRIP domain-containing protein 4;RanBP2-like and GRIP domain-containing protein 3;RANBP2-like and GRIP domain-containing protein 5/6;RANBP2-like and GRIP domain-containing protein 8	12.1804232582543	12.2610456983346	12.1041505353675	12.2139410419915	12.5067130957854	12.4423893936606	12.5490090178426	13.3833401284979	12.5294149647186	12.4600292754755
LRRIQ3	Leucine-rich repeat and IQ domain-containing protein 3	14.1904010269616	14.1030762364306	14.2833611995802	14.1948177636553	14.1746743189654	14.3221545753523	14.4286027281156	14.3691828286678	14.5425176835393	14.6334396496789
ZSWIM8	Zinc finger SWIM domain-containing protein 8	13.6533996136511	13.6060584895342	13.752123436133	13.5443578114016	13.693575192925	13.4395697224494	13.2741011860696	13.2587426362301	13.2606063049021	13.6068934162497
ARHGAP32	Rho GTPase-activating protein 32	11.672547397921	11.4594431705663	11.8350407815618	12.2649547546415	12.2014724784198	11.6128446020555	12.1725057315249	12.0813753049405	11.7246345402927	12.1603692820095
DISP2	Protein dispatched homolog 2	11.849160295212	12.0843288463899	12.7255062559604	12.1919551947929	12.6314295930063	12.7492705761891	12.9016708999104	12.4779456511074	12.9057872531091	12.9713385107651
CYSRT1	Cysteine-rich tail protein 1	13.97658139416	13.7680971849047	14.3270096755971	14.1904010269616	14.268224903254	14.0933175544055	14.0047348337449	14.1731297491377	14.0148777413255	14.1753022297011
SNRPG	Small nuclear ribonucleoprotein G;Putative small nuclear ribonucleoprotein G-like protein 15	15.5578455199023	15.3263137324394	15.4870001645459	15.5878035031479	15.6808138110448	15.9423886895693	16.0672011822223	15.9499285664327	15.9297504755088	16.0785697933516
NUDT19	Nucleoside diphosphate-linked moiety X motif 19, mitochondrial	17.4924026886741	17.637855576553	17.6612466861088	17.5100680932709	17.4228275304473	17.6806270117471	17.7531975349051	17.6199112542359	17.6417879191751	17.658713957585
MIF4GD	MIF4G domain-containing protein	13.5923304780289	13.3563292346556	13.5122098007003	13.659979813911	13.5601814063173	13.5101449130257	12.9340868143058	13.2402185122035	13.5118563073111	13.4534538701632
HACD1	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 1	13.7023022477443	13.6620075726167	13.7257504354777	13.6770736316444	13.5751120340867	13.5624950607492	13.4404081672383	13.6060584895342	13.4674806688857	13.5851472622563
HMGB2	High mobility group protein B2;Putative high mobility group protein B1-like 1;High mobility group protein B1	15.7555985134446	15.8296269948126	15.8017106223612	16.1389347725963	16.0060731912501	15.9616205838694	15.7278037715942	15.5087514745204	15.8527748689382	16.0009080764531
GPR89B	Golgi pH regulator B;Golgi pH regulator A	13.3172737116747	13.4863993466273	13.4211130216014	13.6586452178588	13.5933526751059	13.5142826195568	13.5601814063173	13.4991458149986	13.5674855564194	13.6586452178588
WASH3P	Putative WAS protein family homolog 3;WAS protein family homolog 2	14.6702728756346	14.4062975794496	14.4561534415926	14.5434347845552	14.5656211563554	14.1120825283439	14.037565816523	14.3810729323234	14.2567169754338	14.2308531231521
TMEM238	Transmembrane protein 238	11.1012942641074	10.7345222971484	11.0039293928057	10.8877457547324	11.0743319388185	10.8741745507511	10.8877457547324	11.0230902915138	11.2954974839487	11.2112273335267
FAM195B	Protein FAM195B	13.3410675008099	13.4395697224494	13.2837821145055	13.5421365543917	13.1280548836848	13.3810101807955	13.2987205241725	13.2322805973779	13.2366506993286	13.4460330769383
NACA	Nascent polypeptide-associated complex subunit alpha;Nascent polypeptide-associated complex subunit alpha, muscle-specific form	15.349817618522	15.1955327627679	15.1876785979685	15.1623880999646	15.435605977345	15.3016603620819	15.3122420783498	15.3245802397393	15.2749353344521	15.298655255211
NDUFC2-KCTD14	NADH dehydrogenase [ubiquinone] 1 subunit C2, isoform 2;NADH dehydrogenase [ubiquinone] 1 subunit C2	15.223307517897	15.3372338670784	15.4036993296632	15.0060957600778	15.1552825751397	15.4327514515854	15.4015520868603	15.1855894515065	15.3998802339877	15.3004599308285
C11orf98	Uncharacterized protein C11orf98	17.3358171864362	17.11050703658	16.9640455092199	17.222164354067	17.2757891288611	16.8855038191402	16.9965363781532	16.9972627399121	17.0649956078751	17.0078786824286
CNKSR3	Connector enhancer of kinase suppressor of ras 3	13.9138453502263	14.2410015507521	14.230311087947	14.0125099288117	13.8854871795542	14.0343814161748	14.1263576615063	14.1487227803029	13.9929545554521	14.0684694486809
SLC35A4		16.2604588617164	16.3455353346565	16.4433361671266	16.3001767281813	16.1893989484063	16.4755330407226	16.4847488519226	16.3001767281813	16.5115111552868	16.4185822333722
SMCR7L		15.0073419478441	14.9497223358524	15.1481303575963	14.959634853829	15.0241724616616	15.1569588085918	15.3553229249987	15.0100082918385	15.1569588085918	15.177446645841
DNASE2	Deoxyribonuclease-2-alpha	16.588385067454	16.8618787668171	16.7347280183038	16.4444246157126	16.6486939759934	16.8136475622282	16.821346244243	16.7682480760487	16.6713689950368	16.6599342921
AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	18.3981216136212	18.4744597150061	18.5610007405537	18.4898914816774	18.4590268829751	18.5909580422994	18.5923376438584	18.5554090936371	18.5684243775384	18.5890147185696
UBXN8	UBX domain-containing protein 8	12.5601415004978	12.1122095170163	12.7428716025632	12.5403890384774	12.2791625138661	12.444133551407	12.4172667554976	12.6550364854788	12.678381982044	12.5762519153123
KIF2A	Kinesin-like protein KIF2A	17.9699166514075	17.9599530422459	17.9089367751788	17.959161115658	17.9848945185955	17.8407465399136	17.9045600119215	17.9472907023786	17.9005257519482	18.0031817352784
TK2	Thymidine kinase 2, mitochondrial	15.885738963278	15.9418673616992	16.2392664364383	16.0688601317713	15.8875364378244	16.1709333549564	16.3126810071405	15.9381674617694	16.0746939605443	16.1779791548463
DDX39A	ATP-dependent RNA helicase DDX39A	17.4016742874961	17.4045807423916	17.5568960691916	17.4170215243437	17.3901368561823	17.2889960092559	17.1860797890795	17.0274711730533	17.2253843556661	17.2502479915644
PDLIM1	PDZ and LIM domain protein 1	17.226161927324	17.2828240905738	16.9253387307798	16.9762462794286	17.0039254430451	17.0335454267117	17.2023004449885	17.2880050858986	17.0526080905519	16.8756417350287
ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	18.4744597150061	18.2640502222283	18.3279495022482	18.3685201713822	18.5437951306872	18.1483523729423	18.2265045606446	18.3842671385097	18.0769946914475	18.1684946369568
MYO1C	Unconventional myosin-Ic	19.6062695210094	19.5693862874708	19.5818017677756	19.6879457870809	19.5189575762743	19.7296171564531	19.814589789788	19.8616152795896	19.7508887337068	19.7056041585427
SNAP23	Synaptosomal-associated protein 23	15.9845349097034	16.11597417725	16.2866554307977	16.0580369302201	16.1652992519365	16.1571996746806	16.1904087168669	15.9833830690774	16.2357681899634	16.1437055125046
HAX1	HCLS1-associated protein X-1	15.3122420783498	15.3966980122143	15.6010080107659	15.4626388062194	15.5774810074668	15.7089664255704	15.7418091839675	15.871878840066	15.7706043043597	15.7418091839675
AIP	AH receptor-interacting protein	16.1389347725963	15.8123105148189	15.8435434159448	15.8845888403865	15.8057979485271	15.5054452951586	15.4715806426582	15.7400740819286	15.5327482253175	15.5207646678146
GTPBP1	GTP-binding protein 1	16.3676293027763	16.22215575108	16.2722576777395	16.2771472349217	16.2800969037299	16.1848920941076	16.0066559286879	16.0302609784041	16.1482251217507	16.2205272567254
LGALS9	Galectin-9	16.7780093952468	16.7788783710398	16.8518568490988	16.7269097342961	16.835140018009	16.8496410994449	17.0219888349179	16.8920157673964	17.051184317998	16.9735004303204
STXBP3	Syntaxin-binding protein 3	17.1399821556227	17.0269766319132	17.1325690725577	17.1317491040477	17.0924909616101	17.2352279381969	17.306616203347	17.1944368406983	17.2418698653603	17.1680475180601
AP4M1	AP-4 complex subunit mu-1	12.3498707505588	12.0947420920808	12.3417251669509	12.0023002605721	12.1658157661094	12.1183525161363	11.9386809815757	12.57366685504	12.042824411497	11.9464159869746
ARVCF	Armadillo repeat protein deleted in velo-cardio-facial syndrome	14.5619554657951	13.7823219595883	14.0136140935342	14.0659128685455	14.0640707577731	13.9722821565113	13.844631015572	14.0115539393347	13.9385426153364	13.7148669299491
