PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
ESYT2_A0FGR8.1	0.00320634262456434	-0.00805428870761503	-0.000376119631027076	-0.00913507535480101	0.00116195648849065	-0.00951656552118518	0.000344399834532559	-0.00487519126385291	0.00250102330843271	-0.190625608677932
ESYT2_A0FGR8.2	0.00105283182930271	-0.00283376074580921	-0.00269191110998341	-0.00614629632477879	-0.00351158233004559	0.00446876722173528	0.00897456304263499	0.00850762676098274	0.0131860060213302	-0.239754900662224
MED19_A0JLT2	-0.00219375419100633	-0.0105800544540252	-0.0320922096486106	-0.0170766094359049	0.0124407002311851	-0.0453578583509068	-0.0659801784329501	0.0277575894945044	0.00490422792395391	-0.29790056966078
C1orf226_A1L170	-0.002886797100858	-0.00214536878513198	0.00606696550127786	-0.0100858126645037	0.00591682343163303	-0.00115636800729606	-0.00525227779820142	-0.00314425066097729	0.00984629222262904	0.0258040251481009
C1orf226_A1L170.1	9.09921017815508e-05	-0.013454439215515	0.0130654943810987	-0.0134560938957279	0.015939739905521	0.00554529995775077	-0.00542986497081362	0.0237919681656236	0.010991406297094	-0.0753355386002915
C1orf226_A1L170.2	-0.00180452420611087	-0.00196473311835704	0.00426362697225958	-0.00305604016746402	-0.00704983957694823	-0.00793042606249374	-0.00422126219406665	0.0209189269533182	0.028594649823062	-0.40929999826223
PLEKHG3_A1L390	0.00117491198911114	0.00227585742266381	-0.0121298893536995	-0.00432144980349782	0.0203563164734415	-0.0257149034162536	-0.0062787107419775	-0.00806767329233482	-0.0106931984923232	-0.0683215588927287
PLEKHG3_A1L390.1	0.000620187671308798	-0.0153566601127332	-0.00280077279314519	-0.0198048999626276	0.0141847693714529	-0.0234909823970842	0.00608312462294883	0.00593321644880095	0.0037024231058657	0.398237206491968
PLEKHG3_A1L390.4	0.00031023754992307	0.00812798690237431	-0.00660905945119132	-0.0109387921188485	-0.0181852877466805	-0.00388877787813954	-0.00927012080587282	0.00115479064869826	0.0123025029962268	0.0151700949808272
PLEKHG3_A1L390.5	0.00246606289350944	-0.000634997028539073	-0.0157846597806053	0.00117506637008707	-0.00923965778737136	0.000151910003022122	0.0067044247265785	0.000872979074364012	0.0124797202692104	0.00321656021456432
CXorf23_A2AJT9.2	-0.000470866957118765	-0.00236010483566322	-0.0107098287107989	0.0107154373209011	0.0174565427042291	0.00332555844206296	0.0221288884811455	0.0326816564675342	0.0112364010359195	0.00872827740402059
CXorf23_A2AJT9.5	-0.000777127131568205	0.00899153341072433	0.00149141247054379	0.0104339004294963	0.0212398858513733	0.00071057573998531	0.00310275556548111	-0.00182730414454813	0.0133360548287299	0.00251781343889611
CXorf23_A2AJT9.6	-0.00199466547041637	0.00594722341508073	-0.0142875130548361	0.0237721916542187	0.00242610494270036	0.00871381795707618	0.00416356010626642	0.0113254392150194	0.00226960109278123	0.0148339190672857
ZNF316_A6NFI3	-0.00504361176198801	0.0124911069128603	-0.00539660106232425	0.0109514915425152	0.0195385916599005	-0.0210688926863735	-0.00973403293070938	-0.00208685629892156	0.00635423137570921	0.00923802281463419
CCDC85C_A6NKD9	0.00251268153330212	-0.000132474034076564	0.00180624602842275	0.00805258165312049	-0.00497322646147301	0.0015513896226808	0.00407061361919383	0.00113791064559878	-0.00107058768212111	0.0114642704852843
SAC3D1_A6NKF1	-0.000833916764899957	-9.04550927156994e-05	0.00384827388772507	-0.0072719280868349	-0.0072422412502107	-0.00350252046513741	0.00407790728622075	-0.0113032140626386	-0.0146599939851284	-0.0123650468400061
ARHGAP32_A7KAX9	0.00339741402846091	0.0111230115810168	0.0133800069729789	-0.0240894875782998	0.0203264423558336	0.00811057699314651	0.0214577258964237	-0.00781829809503803	0.010567403783145	0.00769701468235646
DISP2_A7MBM2	-0.00303720018062556	0.00280532770041044	0.0136009948769107	-0.00607568874566977	0.0375518532860903	0.017723558802043	-0.0288006867601546	0.0134205250861336	0.00658671009896797	0.0123108844468126
EIF3C_Q99613	-0.000223926234982723	0.00877184221508244	-0.00151715668097918	0.00486957900681232	-0.00530619804848977	0.00146740426829267	0.00295944550446238	0.0153535777382631	0.00846933572141973	-0.0151139038403589
TMEM238_C9JI98	-0.00103070693228521	-0.000909982141488494	0.00954108297257899	0.00927070727190179	-0.0184122192827404	0.00214728647659641	0.0179663494890382	0.00370841307642582	0.0155785846795565	0.0110558075609229
TMEM238_C9JI98.1	-0.000841465650354722	-0.00342134273636693	0.013087576620988	-0.00146468793684421	-0.00994796664929901	0.0106448644239421	0.0182112312844154	-6.73567026182634e-05	0.0237575852062734	0.0112197009546912
FAM195B_C9JLW8	-0.000215721934180496	0.0113877457530759	0.000953402282152474	0.000846568157693069	0.00148651782926577	-0.0033107076074314	-0.0181608722771647	-0.00971714114261189	-0.0155404977971901	0.0117293036897365
MYO1C_O00159	0.00131030564067512	-0.00674893582839036	-0.00150950620556561	-0.00691946675688095	0.00481131741183027	0.00527209665208046	0.00205016369322971	0.00188736437265504	0.00249122841121723	-0.00288335305793028
SNAP23_O00161	-0.00130472039603999	-0.000429011398662993	0.00634573799004721	-0.00608684714678468	-0.00119504015228956	-0.000308006271392944	0.00213117866942599	-0.0186625838117903	0.000110580296240899	0.00266837951656137
GTPBP1_O00178	0.00125278625525875	-0.00741268420222567	-0.00118756753741003	0.0015098208699848	-0.0063300176439425	-0.0106098851778857	0.00604311385877757	-0.000576108852980631	-0.0035538823620944	-0.0148201039069044
ARVCF_O00192	0.00236837966551974	-0.00841140080697811	0.0126415378630632	-0.0104549013233598	-0.0426764095211386	-0.004961302183636	0.00764448330149483	0.00466338395808132	-0.00733861350183051	-0.00336057919821529
SMAP_O00193	-0.00266179673046235	0.0124028401110201	0.00574019115343325	0.0119197640012736	0.00722697522917767	0.00631145520233665	-0.0106713055067691	-0.00787537888638786	0.0122146581512516	-0.00881612536555554
SMAP_O00193.1	-0.00375357177754905	0.0219624868742175	0.0177230112113084	0.00488602829320249	0.0282090157477213	0.00693173690582943	-0.00993148667508791	-0.00844719600792711	0.0265404627477001	0.00479938983629874
PSMD11_O00231	-0.00145727565181426	0.0288705318207687	0.0199970958413233	0.018401693623325	0.00935328246627171	-0.00472237801206695	0.00305585928003956	0.0235799013574931	-0.00576743864602425	-0.0122740866237815
