feature_identifier	mz	mummichogID_hsa_biocyc
Row.1_57526	567.29929898317	
Row.2_98021	199.072678499788	CPD-7620,C00299
Row.4_111000	254.152009803531	C06174,C06171,CPD-7712,CPD-7713
Row.5_129984	301.152487383607	
Row.7_96085	375.20365430813	CPD-293,C01953
Row.8_59209	183.062537809918	4-GUANIDO-BUTYRAMIDE
Row.9_2974	195.062541944011	CARBAMYUL-L-ASPARTATE,N3-METHYLCYTOSINE
Row.10_111658	179.154196168822	
Row.11_113493	281.208554595903	13E-11-ALPHA-HYDROXY-915-DIOXOPROST-1,20-OH-LTB4,5Z13E-15S-1115-DIHYDROXY-9-OXOPROS,5Z13E-15S-69-ALPHA-EPOXY-11-ALPHA,5Z13E-15S-9-ALPHA15-DIHYDROXY-11-O,ALPHA-HYDROXY-915-DIOXOPROSTANOATE,ALPHA11-ALPHA-EPOXY-15-HYDROXYTHROMBA,PROSTAGLANDIN-H2
Row.12_81499	200.104342969924	CPD-13403,C00475,C00881
Row.13_2268	131.010382690427	CPD-385,ETOH,C00116
Row.14_3347	239.140094493474	DODECANOATE
Row.15_113600	308.184291614441	
Row.16_102899	391.14173364942	C01847
Row.17_4178	128.06820589074	
Row.18_119772	275.104123885404	C01449
Row.19_30665	530.261585783222	
Row.20_91658	308.939862478503	
Row.22_96984	275.088794567579	
Row.24_3723	718.621241113569	
Row.25_114699	269.208568499442	
Row.26_85151	251.104174950214	CH33ADO,C00559
Row.27_119532	513.242416905036	
Row.29_55011	783.32614932215	
Row.30_109319	252.137005803777	C06171,CPD-7712,CPD-7713
Row.31_101272	251.125118116865	
Row.32_73678	269.08935815108	C00294,3-KETOLACTOSE,CPD-731
Row.33_64550	269.135414194589	
Row.34_3252	576.63250453374	
Row.35_15162	217.104435179692	CPD-8985,CPD-8985,CPD-13403
Row.36_66829	279.12015116487	CPD-731
Row.37_92938	293.13558481406	CPD-14601
Row.38_59680	315.213849832421	
Row.39_108919	296.125658076734	
Row.40_3197	163.072712287644	C00114,CPD-13406
Row.41_2497	440.776620091422	
Row.42_87287	255.156327807805	
Row.43_58090	461.198954503573	5-METHYL-THF
Row.44_97447	229.083251769365	C00526,CPD-195
Row.45_97432	295.15136126297	C00449
Row.46_69539	355.173157526617	
Row.47_80710	239.161429154479	
Row.48_98585	259.093999293388	
Row.49_49646	405.209808766542	
Row.50_2637	185.114598389301	
Row.51_98778	255.073790496304	
Row.52_86394	323.146344758788	
Row.53_99756	255.13534902929	CPD-12023
Row.54_64590	183.135084633336	CPD-148
Row.55_80107	279.205714147493	C00517
Row.57_93209	337.19845376856	
Row.58_3737	169.119718890534	CPD-13086
Row.59_70017	773.432520366913	
Row.60_56721	326.099612461925	ALLOLACTOSE,ALPHA-MALTOSE,CPD-1243,CPD-13557,LACTOSE,MALTOSE,C05402,C00089,C01083,C00051
Row.61_85008	313.198307112637	
Row.62_73214	269.171917516472	DODECANOATE
Row.63_2211	279.229106610844	CPD-8117,LINOLENIC_ACID,CPD-13086,PALMITATE
Row.65_132640	411.093920484776	P-RIBOSYL-4-SUCCCARB-AMINOIMIDAZOLE
Row.66_2110	285.182032648452	19-OXO-TESTOSTERONE,CPD-11961,CPD66-26
Row.67_103944	365.21965091586	
Row.68_109901	277.177382123223	
Row.69_119631	323.219343475641	C05294,HYDROXY-915-DIOXOPROSTA-13-ENOATE
Row.70_100102	197.151088981592	
Row.71_78578	315.177671555889	
Row.72_2276	237.145745928237	
Row.73_62173	253.177065349106	CPD-12936
Row.74_110713	679.325766035132	
Row.75_4516	132.076655927943	C00300,CPD-13394,O-UREIDOHOMOSERINE
Row.76_74265	241.1769852315	C00750
Row.77_85051	216.135860915213	
Row.78_111522	259.072948404418	
Row.79_115808	501.353907537204	CPD-12937,CPD-12937
Row.80_3474	135.041513957448	CPD-289
Row.81_74672	229.154302416092	
Row.83_93643	332.258015903291	
Row.84_60058	463.251088326135	
Row.85_124142	343.245589671166	
Row.86_127219	391.151646380613	
Row.87_72313	312.120292268383	
Row.88_77498	322.236583219348	
Row.89_68774	270.109607828288	
Row.90_67527	281.171874706181	
Row.91_119577	252.136731836018	C06171,CPD-7712,CPD-7713
Row.92_5311	76.0884120235886	
Row.94_54476	525.287800642965	
Row.95_43165	499.216233732537	
Row.96_72941	358.146945336487	
Row.97_86153	606.301852863933	
Row.98_59161	196.072971661985	
Row.99_83534	272.125496219355	
