feature_identifier	mz	mummichogID_hsa_mfn
Row.1_57526	567.29929898317	
Row.2_98021	199.072678499788	C00299
Row.4_111000	254.152009803531	C05176,C06174
Row.5_129984	301.152487383607	
Row.7_96085	375.20365430813	C01953,C03681,C04042,C05479
Row.8_59209	183.062537809918	C03078
Row.9_2974	195.062541944011	C00438
Row.10_111658	179.154196168822	C16560,C16561
Row.11_113493	281.208554595903	CE1243,C00427,C00584,C00696,C01312,C02198,C04654,C04671,C04853,C06314,C06315
Row.12_81499	200.104342969924	C06114,C00475,C00881,C05711
Row.13_2268	131.010382690427	C00116,C00469,C00472,C03494
Row.14_3347	239.140094493474	C02679
Row.15_113600	308.184291614441	
Row.16_102899	391.14173364942	C01847
Row.17_4178	128.06820589074	CE1938
Row.18_119772	275.104123885404	C14853
Row.19_30665	530.261585783222	
Row.20_91658	308.939862478503	
Row.22_96984	275.088794567579	
Row.24_3723	718.621241113569	
Row.25_114699	269.208568499442	
Row.26_85151	251.104174950214	C00455,C00559,C04079,C05198
Row.27_119532	513.242416905036	
Row.29_55011	783.32614932215	
Row.30_109319	252.137005803777	
Row.31_101272	251.125118116865	C03415
Row.32_73678	269.08935815108	C00294,C05403
Row.33_64550	269.135414194589	
Row.34_3252	576.63250453374	
Row.35_15162	217.104435179692	C16015,C16015,C14854
Row.36_66829	279.12015116487	
Row.37_92938	293.13558481406	C02999
Row.38_59680	315.213849832421	
Row.39_108919	296.125658076734	
Row.40_3197	163.072712287644	C00114,C05829
Row.41_2497	440.776620091422	
Row.42_87287	255.156327807805	
Row.43_58090	461.198954503573	C00440
Row.44_97447	229.083251769365	C00526,C06423
Row.45_97432	295.15136126297	C00449
Row.46_69539	355.173157526617	CE6185
Row.47_80710	239.161429154479	
Row.48_98585	259.093999293388	
Row.49_49646	405.209808766542	
Row.50_2637	185.114598389301	CE1447,CE2056,CE5533,CE5534,CE5926,CE5930,C07535
Row.51_98778	255.073790496304	
Row.52_86394	323.146344758788	
Row.53_99756	255.13534902929	
Row.54_64590	183.135084633336	C01387
Row.55_80107	279.205714147493	C00517
Row.57_93209	337.19845376856	CE2054,CE5976
Row.58_3737	169.119718890534	CE2445,CE2446,CE2449,CE5179,CE5343,CE5815,CE5944,CE6240,CE6246,CE6251,CE6474,CE7096,CE7172,C05648
Row.59_70017	773.432520366913	
Row.60_56721	326.099612461925	C00089,C00185,C00208,C00243,C00252,C00897,C01083,C01235,C05400,C05402,C06373,C00051,C05839
Row.61_85008	313.198307112637	
Row.62_73214	269.171917516472	C02679
Row.63_2211	279.229106610844	C06426,C06427,C00249,C05476,C14762,C14825,C14826
Row.65_132640	411.093920484776	C04823
Row.66_2110	285.182032648452	C00390,C05140,C05284,C05290,C05302,CE2182,CE2183,CE2186
Row.67_103944	365.21965091586	C03242
Row.68_109901	277.177382123223	
Row.69_119631	323.219343475641	C04707,C05139,C05294,C05956,C05962,C06439,C14497,C18045,C18075,CE1356,CE1358,CE5947
Row.70_100102	197.151088981592	
Row.71_78578	315.177671555889	
Row.72_2276	237.145745928237	
Row.73_62173	253.177065349106	
Row.74_110713	679.325766035132	
Row.75_4516	132.076655927943	C00300
Row.76_74265	241.1769852315	C00750
Row.77_85051	216.135860915213	
Row.78_111522	259.072948404418	C16634
Row.79_115808	501.353907537204	CE5655,CE6219,CE7101
Row.80_3474	135.041513957448	C04221
Row.81_74672	229.154302416092	C16609
Row.83_93643	332.258015903291	
Row.84_60058	463.251088326135	
Row.85_124142	343.245589671166	C05963
Row.86_127219	391.151646380613	C04555
Row.87_72313	312.120292268383	
Row.88_77498	322.236583219348	
Row.89_68774	270.109607828288	
Row.90_67527	281.171874706181	
Row.91_119577	252.136731836018	
Row.92_5311	76.0884120235886	
Row.94_54476	525.287800642965	
Row.95_43165	499.216233732537	
Row.96_72941	358.146945336487	
Row.97_86153	606.301852863933	
Row.98_59161	196.072971661985	C12205
Row.99_83534	272.125496219355	
Row.100_64073	253.190501094008	C07073
Row.101_61352	284.146467233438	
Row.102_102119	355.223681747389	C00473,C00899,C04518,C05138,C05485,C18038,CE1754,CE5590,retinol-cis-11,retinol-cis-13
Row.103_72767	197.150905541247	
Row.104_87693	259.130136054244	C00449
Row.105_54316	523.272898398758	
Row.106_100212	177.088538705106	C00299
Row.107_83761	298.141328024744	C16609,C05202
Row.108_93359	169.075808372214	C04540,CE3087,C00078,C00525
Row.109_4888	335.095113933616	C00449,C16609
Row.111_69505	184.072972546332	C16362,C00588,C05594
Row.112_76926	260.088983653368	C16612,CE6205
Row.113_58444	337.090343733373	C01031
Row.114_51714	355.172971636933	CE6185
Row.115_29422	313.143165777306	
Row.117_54420	150.088451929337	C00300
Row.118_109517	255.098975172235	C07535,C07535,C16582,C16584,C02406,C02700,C03150,C04874,C15605
Row.119_66925	241.104036149186	C03626
Row.120_83735	281.171991762399	
Row.121_81318	269.208387189583	
Row.122_58913	302.159270175234	C05176,C06174,CE5795
Row.123_99178	188.200780561911	
Row.124_107513	409.162044966303	
Row.125_2548	193.119663538159	C00437,C01239
Row.126_78827	227.067500485136	C00475,C05711,C00299,C02909,C05844,C08261,C14089
Row.127_130978	262.215678193305	
Row.128_111193	263.173238124994	
