Term	Description	p.Val	FDR	Phenotype	Genes	NES	ES	Gene_Hits	Gene_Total
SUPERPATHWAY OF INOSITOL PHOSPHATE COMPOUNDS%HUMANCYC%PWY-6371	SUPERPATHWAY OF INOSITOL PHOSPHATE COMPOUNDS%HUMANCYC%PWY-6371	0.624424884976995	0.872069307888553	1	MTMR14,ITPK1,SYNJ2,PPIP5K2,PIK3R1,PIP4K2C,PI4K2A,PIP4K2A,PLCG1,PI4K2B,PI4KB,PIKFYVE,TMEM55A,INPPL1,ITPKC,PIK3R2,PLCB3,PIK3C2A,PLCD3,PLCG2	0.948072962846211	0.362817602858742	20	39
PHOSPHATIDYLGLYCEROL BIOSYNTHESIS II (NON-PLASTIDIC)%HUMANCYC%PWY4FS-8	PHOSPHATIDYLGLYCEROL BIOSYNTHESIS II (NON-PLASTIDIC)%HUMANCYC%PWY4FS-8	0.398823410082158	0.721498756425669	1	ABHD5,GPD2,LPCAT4,AGPAT6,AGPAT9,AGPAT2,CDS2,LPCAT3,AGPAT1,LCLAT1,GPAM,AGPAT4	1.04982412388816	0.445330151133273	12	15
TRNA CHARGING%HUMANCYC%TRNA-CHARGING-PWY	TRNA CHARGING%HUMANCYC%TRNA-CHARGING-PWY	0.00430129038711613	0.0850286904253094	1	SARS,AARS,GARS,TARS,YARS,WARS,NARS,LARS,HARS,IARS,EPRS,MARS,DARS	1.44147606629278	0.556292498242894	13	35
3-PHOSPHOINOSITIDE DEGRADATION%HUMANCYC%PWY-6368	3-PHOSPHOINOSITIDE DEGRADATION%HUMANCYC%PWY-6368	0.769394153939516	0.943066746549789	1	MTMR14,SYNJ2,INPP4A,TMEM55A,INPPL1,PTPMT1	0.841782619393397	0.353606632087417	6	16
3-PHOSPHOINOSITIDE BIOSYNTHESIS%HUMANCYC%PWY-6352	3-PHOSPHOINOSITIDE BIOSYNTHESIS%HUMANCYC%PWY-6352	0.577829473045413	0.850778284993082	1	PIK3R1,PI4K2A,PI4K2B,PI4KB,PIKFYVE,PIK3R2,PIK3C2A	0.955303483860988	0.401293207732046	7	16
TRIACYLGLYCEROL BIOSYNTHESIS%HUMANCYC%TRIGLSYN-PWY	TRIACYLGLYCEROL BIOSYNTHESIS%HUMANCYC%TRIGLSYN-PWY	0.729465186680121	0.921135662170708	1	ABHD5,LPCAT4,AGPAT6,AGPAT9,AGPAT2,PPAP2A,LPCAT3,AGPAT1,LCLAT1,GPAM,AGPAT4,DGAT1,PPAP2C	0.872729937499185	0.363689658646727	13	17
SUPERPATHWAY OF CHOLESTEROL BIOSYNTHESIS%HUMANCYC%PWY66-5	SUPERPATHWAY OF CHOLESTEROL BIOSYNTHESIS%HUMANCYC%PWY66-5	0.93837057821425	1	1	PMVK,MVK,ACAT2,HMGCS1,LBR,CYP51A1,DHCR24,MVD,HADHB,ACAT1,DHCR7,TM7SF2,NSDHL,IDI1,HSD17B7,ACAA1,FDFT1,MSMO1,EBP	0.70441549357107	0.284664108971502	19	22
ALPHA6BETA4INTEGRIN%IOB%ALPHA6BETA4INTEGRIN	ALPHA6BETA4INTEGRIN%IOB%ALPHA6BETA4INTEGRIN	0.000999900009999	0.0385098315626544	1	LAMB2,LAMC1,VIM,IRS2,MET,BAD,LAMC2,EIF4EBP1,LAMB1,PLEC,PTPN11,FYN,LAMA5,ERBB2IP,PIK3R1,YWHAZ,EGFR,SFN,YWHAQ,PTK2,IRS1,EIF6,SHC1,CASP3,ITGB4,ERBB2,COL17A1,MST1R,ITGA6,LAMA3	1.44134730430412	0.536916345501459	30	56
ANDROGENRECEPTOR%IOB%ANDROGENRECEPTOR	ANDROGENRECEPTOR%IOB%ANDROGENRECEPTOR	0.240875912408759	0.577131956453763	1	HSPB1,NCOA4,HSPA5,WHSC1,GAPDH,PRDX1,CTNNB1,SVIL,SIN3A,IL6ST,HSP90B1,PARK7,NCOA6,ZMIZ1,KAT7,HSP90AA1,FLNA,PIK3R1,GNB2L1,EGFR,CALR,XRCC5,HDAC1,CASP7,NONO,PA2G4,CASP3,STUB1,SENP1,RUNX1,NELFCD,CDC37,PAK6,FOXO1,NSD1,XRCC6,RELA,NCOR2,AKT1,CASP8,TGFB1I1,DAXX,PXN,PIAS1	1.07572124558182	0.387667156489704	44	96
BDNF%IOB%BDNF	BDNF%IOB%BDNF	0.166416491544081	0.475522979367582	1	IRS2,CTNNB1,BAD,EIF4EBP1,PRKAA2,FYN,NGFR,TSC2,IRS1,SHC1,MAPK1,PLCG1,KIDINS220,AKT1,CREB1	1.16984237451603	0.45978289358657	15	29
