Term	Description	p.Val	FDR	Phenotype	Genes	NES	ES	Gene_Hits	Gene_Total
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	0.0613938606139386	0.122787721227877	1	APP,PLK1,ATP6V1B2,ATP6V1A,PRKAR1A,CYP1B1,PRKAR1B,ATP6V1E1,TUBB4B,NEDD4L,GMPPB,HSPA6,POLR2A,DYNC1I2,AMFR,CYP2S1,DCTN2,GLRX5,MAPRE1,PAFAH1B1,TUBA4A,PPP2R4,DYNC1H1,DCTN1,CAD,GPSM1,ELAVL1,ESD,ACTR1A,HSP90AB1,IL5RA,TCTN3,HDAC1,CYB5A,PKM,RAB8A,NFKB1,YWHAG,CASP3,AKAP5,ADCK4,HSPA1B,ABCA1,CYP27A1,PRKAR2A,POLDIP2,HIST1H4A,PDSS2,CHCHD2,FOXO1,CYP51A1,ARSE,NIT2,IQGAP1,RELA,IDE,D2HGDH,CREB1,LCMT1,PTPMT1,PITRM1	1.13926927627381	0.429045510672338	61	135
HYALURONAN METABOLISM	HYALURONAN METABOLISM	0.806319368063194	0.843997843206334	1	H2AFX,CRKL,TGFBR2,SNRPD2,FGFR1,TUBA4A,HNRNPD,PTPN11,HSP90AA1,TRIM24,ABCE1,PIK3R1,ARAF,EIF4EBP1,CRK,TSNAX,PTK2,RHOT1,EIF6,SHC1,NRAS,SMC6,CUX1,MAPK1,ERBB2,FBXO6,ZMYM2,ERBB3,PLCG1,ERRFI1,CD2AP,TMEM25,ITGB4,VHL,FLRT2,RASA1,RHOC,PIK3R2,HRAS,SYNCRIP,IRS2,BCR,CSF2RA,BAG6,KIRREL	0.91406288647165	0.347498591390912	45	106
N-GLYCAN BIOSYNTHESIS	N-GLYCAN BIOSYNTHESIS	0.0032996700329967	0.0118988101189881	1	APP,PDIA4,PDIA6,NEDD4L,TMEM173,DYNC1I2,DCTN2,MBTPS1,PDIA3,FUT11,PAFAH1B1,HSP90B1,DYNC1H1,ISG15,GALNT10,DCTN1,STX16,CFP,SDC4,STT3A,SERPINA1,CALR,AGRN,GALNT1,OS9,DAG1,MGAT2,FUT4,DCTN3,ERGIC3,ALG9,DYNC1LI2,GALNT2,STUB1,POMGNT1,MOGS,GPC6,WRAP73,MAN1B1,ILK,MAN2A2,CSPG4,UGGT1,SEL1L,DCTN5,DPM3,SENP3,MGAT1,GOLGA2,SOAT1,CHSY1	1.24944010601289	0.473094595204922	51	117
GLYCOLYSIS AND GLUCONEOGENESIS	GLYCOLYSIS AND GLUCONEOGENESIS	0.0332966703329667	0.0731220995547504	1	HKDC1,APP,ENO2,PFKM,PGK1,TPI1,GAPDH,PFKL,ACSS2,LDHB,PRNP,PFKP,HSPA6,PGM1,NUP155,ALDOC,GALM,TUBA4A,HSPH1,ALDH3A2,PTPN11,ISG15,ENO1,NUP210,ALDOA,HSP90AA1,FBP1,NUP62,PPP2R5D,ACTB,ALDH3B1,YWHAZ,AAAS,ME3,ME2,LDHA,HSP90AB1,NUP43,DBT,PKM,MMS19,YWHAQ,TRAPPC2B,PEA15,HIF1A,HSPA1B,DLAT,ABL2,ELP3,TPR,PDPR,HIST1H4A,NUP50,PDK3,NUP107,ALDH2,PLD2,NUP98,FOXO1,MAT2A,TNC,GPI,NUP85	1.15514560449473	0.433220110084367	63	152
GLYCOSPHINGOLIPID BIOSYNTHESIS - GANGLIOSERIES	GLYCOSPHINGOLIPID BIOSYNTHESIS - GANGLIOSERIES	0.0054994500549945	0.0175982401759824	1	SDF4,NEU1,SDCBP,APP,NDST1,DAAM1,PLK1,ENO2,CHST14,H2AFX,ATP6AP2,CTSA,NCOA5,TMEM51,MBD2,GSPT1,TUBA4A,HNRNPD,ABCE1,ELAVL1,EIF4EBP1,GLB1,SDC4,ACTB,CRK,AGRN,TSNAX,NAAA,IPO13,SFN,ILKAP,CHST12,PHF5A,CHST15,SMC6,TFIP11,OTUD6B,PON2,GPC6,TMEM259,NDUFAF7,FBXO6,CSPG4,ZMYM2,UGGT1,CHST11,INTS1,KDM5B,GSPT2	1.23225645394486	0.465104839721768	49	127
C5-BRANCHED DIBASIC ACID METABOLISM	C5-BRANCHED DIBASIC ACID METABOLISM	9.99900009999e-05	0.0009332400093324	1	SARS,GFPT1,HSPA5,LAMC1,GALE,WARS,PEPD,ATP6V1A,MTHFD1,NARS,PRKAR1A,IMPDH2,CTSL,VPS4B,SLC2A1,G6PD,LDHB,IPO9,APRT,AHSA1,TOP2A,CDK6,SKI,HARS,PRPS2,FASN,FGFR1,EPRS,SLC2A3,HSP90B1,PTGES3,NPEPPS,NUP210,CAD,ARRB2,WWP2,CCT8,ABCE1,PYGB,DDX39B,CDH1,FECH,ESD,AK1,PTPRF,CDK5,LDHA,INO80,TROVE2,TXN,CKB,RAP2A,CCT7,COPB1,CCT4,CCT3,RPN2,IDH3A,HSPA1B,DLAT,TPR,DDX39A,HLA-C,FAF2,PPOX	1.30677992071021	0.488616278225448	65	165
PYRUVATE METABOLISM	PYRUVATE METABOLISM	0.0002999700029997	0.00223977602239776	1	GFPT1,TARS,ATIC,BST2,WDR76,GOT1,ATP6V1B2,ATP6V1A,ASNS,PRKAR1A,TUBB3,PRKAR1B,TUBB4B,IPO4,GAPDH,HUWE1,NEDD4L,AKR1A1,HSPA6,BAG3,SNRPG,IARS,CTPS1,TUBA4A,HIST2H2BE,ISG15,NPEPPS,CAD,ACACA,ME3,ME2,TXN,HSP90AB1,LTA4H,HIST2H3A,AKR1B1,ABCF3,UBE2G2,AKR1D1,AKR7A2,NFKB1,PRPF40A,HECW2,CCT4,CCT3,CTPS2,IDH3A,AKR1C3,EWSR1,HSPA1B,MAPK1,GLO1,ATP6V1D,TPR,TCP1,MYL1,PRKAR2A	1.29198032444393	0.485162492743775	57	146
SIALIC ACID METABOLISM	SIALIC ACID METABOLISM	0.572842715728427	0.616907540015229	1	NEU1,PLK1,ENO2,ATP6V1A,H2AFX,GDI1,PGLS,EED,SERINC5,MOV10,IMPA1,HSPA6,CTSA,BAG3,KEAP1,CTPS1,POLE2,HSPH1,HSPA4,GDI2,ABCE1,GDE1,ELAVL1,EIF4EBP1,GLB1,SERINC1,CRK,HSP90AB1,TCTN3,MMS19,UBE2G2,AP2A1,CTPS2,HSPA1B,SERINC3,TMEM259,RSBN1L,ILK,FBXO6,EPS15,CSE1L,HERPUD1,LIMA1,ST3GAL1,CYP51A1,AP2B1,ATP6V0A1,JUNB,NXF1,UNC93B1,PSMA3,TFAP4,RCC1	0.983778552391076	0.369156374184573	53	149
CHONDROITIN SULFATE DEGRADATION	CHONDROITIN SULFATE DEGRADATION	0.343165683431657	0.41995800419958	1	NEU1,LOXL2,NDST1,HSPA5,PPT2,H2AFX,CRKL,IDUA,ST3GAL4,TGFBR2,SNRPD2,FGFR1,TUBA4A,HNRNPD,PTPN11,ABCE1,PIK3R1,PLAUR,ELAVL1,EIF4EBP1,CRK,KLHL15,TSNAX,NAAA,PTK2,SHC1,NRAS,SMC6,MAPK1	1.03895956200827	0.393783333727482	29	114
DI-UNSATURATED FATTY ACID BETA-OXIDATION	DI-UNSATURATED FATTY ACID BETA-OXIDATION	0.344965503449655	0.41995800419958	1	SQSTM1,VCAM1,RRAGA,WDR76,CALCOCO2,ATP6V1B2,ATP6V1A,PAICS,TUBB3,TUBB4B,IFRD2,NEDD4L,TMEM173,GMPPB,HSPA6,SKI,BAG3,SPG20,DECR1,PARK7,GTPBP2,IPO7,ALDOA,CAD,NDRG1,HNRNPC,HGS,YWHAZ,HADH,MED4,HIST2H3A,VCL,YWHAQ,NT5C2,HECW2,HSPA1B,MAPK1,ERBB2,TYSND1,FBXO6,FERMT2,HIST1H4A,ATL1,TUBB6,TUBB,WASL,HSD17B10,NDC80,SLC27A1,SLC27A4,PSMC3,CLUH,RABAC1,PPP3CB,TAF5,FASTKD3,PSMA3,TUBB4A,PGRMC1,ICT1,TP53,PPP3CA,ATL3,ECHS1,YES1,CYHR1,ACAA2,HADHB,ECH1	1.03403650669163	0.387437612774086	69	155
