Term	Description	p.Val	FDR	Phenotype	Genes	NES	ES	Gene_Hits	Gene_Total
FATTY ACID ACTIVATION	FATTY ACID ACTIVATION	0.744440393729493	0.998269147555171	-1	PRKAA2,CSNK1D,XPO1,WASL,MDN1,EEF2,HSP90AA1,PSMD2,PGRMC2,H2AFX,MOB1A,CLTC	-0.864958588504122	-0.231666709335306	12	49
HYPUSINE BIOSYNTHESIS	HYPUSINE BIOSYNTHESIS	0.0709555345316935	0.998269147555171	-1	CSNK1D,XPO1,EEF2,HSP90AA1,PSMD2,CDK17,HSD17B7,BAG3,CLTC	-1.3595418765439	-0.403822135891287	9	30
ALANINE BIOSYNTHESIS III	ALANINE BIOSYNTHESIS III	0.23601043780806	0.998269147555171	-1	CSNK1D,ISCU,PIK3C2A,KPNA4,MYC,CLTC,ATP2A2	-1.16684140968962	-0.402055878598936	7	17
CITRULLINE-NITRIC OXIDE CYCLE	CITRULLINE-NITRIC OXIDE CYCLE	0.977807971014493	0.998269147555171	-1	PSMD11,ATP2B4,LGALS3BP,PARP4,COPRS,XPO1,WASL,GARS,NEDD4L,HSP90AA1,PSMD2,MYC,HSD17B7,BAG3,CLTC,ATP2A2,ARAF,EIF3C,MYCBP2	-0.734013741039186	-0.177197392460734	19	87
ARGININE BIOSYNTHESIS IV	ARGININE BIOSYNTHESIS IV	0.591302199159871	0.998269147555171	1	TOP2B,MRE11A,PWP1,POLR2A,HIST1H4A,PARD6A,GYS1,SMC4,TOP2A,ACOX2,RBM34,RBMX2,ATF2,NOP2,PAK1,CSNK1E,GIT1,MAP3K1,DSTN,UTP3,OTUD4,TERF1,SEC61A1,DYNC1LI1,PRKAR2A,ACAT1,ERCC5	0.942866493985389	0.254337812844563	27	114
ASPARAGINE BIOSYNTHESIS I	ASPARAGINE BIOSYNTHESIS I	0.168785101980491	0.998269147555171	-1	ALDOA,PRKAG2,CSNK1D,XPO1,STT3B,PSMD2,DDA1,CTPS2	-1.24144383028846	-0.409426310983115	8	20
GLUTAMATE DEGRADATION II	GLUTAMATE DEGRADATION II	0.418199737187911	0.998269147555171	-1	ALDOA,FTSJ1,GARS,EEF2,NEDD4L,HSP90AA1,PSMD2,CLTC,EIF3C,CTPS2,JUN,PRPF40A,SEPT7	-1.01517075029932	-0.289505779737775	13	36
ASPARTATE BIOSYNTHESIS	ASPARTATE BIOSYNTHESIS	0.418199737187911	0.998269147555171	-1	ALDOA,FTSJ1,GARS,EEF2,NEDD4L,HSP90AA1,PSMD2,CLTC,EIF3C,CTPS2,JUN,PRPF40A,SEPT7	-1.01517075029932	-0.289505779737775	13	36
CYSTEINE BIOSYNTHESIS/HOMOCYSTEINE DEGRADATION	CYSTEINE BIOSYNTHESIS/HOMOCYSTEINE DEGRADATION	0.497459779847587	0.998269147555171	-1	PSMD11,CSNK1D,PPAN,COL4A3BP,EIF3B,XPO1,MDN1,GARS,NUP107,STT3B,EEF2,KPNA4,NEDD4L,TOMM20,HSP90AA1	-0.979731212957061	-0.24030955326608	15	76
ARGININE DEGRADATION I (ARGINASE PATHWAY)	ARGININE DEGRADATION I (ARGINASE PATHWAY)	0.879671954826566	0.998269147555171	1	POLR2A,HIST1H4A,SUZ12,RBMX2,ATF2,EZH2,PAK1,CSNK1E,DSTN,UTP3,OTUD4,CCDC8,PRKAR2A,ACAT1,HNRNPA1,TUBA1A,SUMO1,MCM2,VCP	0.766291092459786	0.226798021707445	19	60
