"Pathway","Mummichog Pvals","GSEA Pvals","Combined Pvals"
"Tryptophan metabolism",0.0013296,0.2451,0.00294240426361073
"Porphyrin metabolism",0.075076,0.2278,0.0866837834239384
"Propanoate metabolism",0.14255,0.4084,0.223762767198371
"Aspartate and asparagine metabolism",0.27845,0.551,0.441028606669536
"Methionine and cysteine metabolism",0.23891,0.09833,0.11161280790556
"Drug metabolism - cytochrome P450",0.30344,0.9286,0.638683508782229
"Prostaglandin formation from arachidonate",0.37146,0.03544,0.0701700157391437
"Linoleate metabolism",0.30364,0.4636,0.416762699413614
"Caffeine metabolism",0.24242,0.007767,0.0136978388303564
"Limonene and pinene degradation",0.24242,0.1146,0.127332706907939
"Leukotriene metabolism",0.43922,0.8877,0.757129006987189
"Xenobiotics metabolism",0.51215,0.06944,0.154219475995152
"Purine metabolism",0.47952,0.001779,0.00688140558028043
"Vitamin B3 (nicotinate and nicotinamide) metabolism",0.47617,0.1758,0.291345720549522
"Vitamin B5 - CoA biosynthesis from pantothenate",0.393,0.1871,0.265448626640598
"N-Glycan biosynthesis",0.50571,0.04393,0.106790427254471
"Pyruvate Metabolism",0.50571,0.3243,0.460496940809689
"Glycosphingolipid biosynthesis - globoseries",0.4141,0.417,0.475959966005563
"Arginine and Proline Metabolism",0.72145,0.393,0.640901610315151
"Fatty acid activation",0.72145,0.03057,0.106176489486597
"Urea cycle/amino group metabolism",0.7604,0.3025,0.568056335350261
"Vitamin B9 (folate) metabolism",0.719,0.1377,0.327965476858659
"Fatty Acid Metabolism",0.719,0.1653,0.371989284096258
"Selenoamino acid metabolism",0.719,0.02264,0.0833104988227239
"Sialic acid metabolism",0.78579,0.001808,0.0107357240857762
"Glycosphingolipid biosynthesis - ganglioseries",0.59704,0.2945,0.481461337949963
"Omega-3 fatty acid metabolism",0.59704,0.4113,0.590382364153324
"Lysine metabolism",0.78718,0.9474,0.964533978810937
"Carnitine shuttle",0.79629,0.1962,0.446263328522425
"Glutathione Metabolism",0.76786,0.7929,0.91094438037486
"Glutamate metabolism",0.76786,0.7594,0.89762909568088
"Chondroitin sulfate degradation",0.73308,0.009747,0.042452526321783
