Term	Description	p.Val	FDR	Phenotype	Genes	NES	ES	Gene_Hits	Gene_Total
PROTEIN LOCALIZATION TO ORGANELLE%GOBP%GO:0033365	PROTEIN LOCALIZATION TO ORGANELLE%GOBP%GO:0033365	0.00196463654223969	0.0115472951485813	1	BCL3,SEC16A,LMNA,YBX1,ZBTB7A,POM121,PML,RTN4,BAD,AIFM1,NUP93,PPHLN1,CSNK1D,MID1,OPTN,GAS2L1,GBF1,CALR,PEX10,SCRIB,TOPORS,RANBP2,GSG2,FAM21A,FAM65A,TOMM70A,RAB7A,CHAMP1,NEDD1,SRP72,TBRG1,LEMD2,NUP153,CROCC,SRP68,SP100,DLG1,SEC61A1,RPL13,BAG6,PEX1,NRP1	2.06096164910122	0.510554184243699	42	102
CELL DIFFERENTIATION%GOBP%GO:0030154	CELL DIFFERENTIATION%GOBP%GO:0030154	0.00197628458498024	0.0115472951485813	1	CASZ1,DBN1,KAT6A,SPTBN1,IL6ST,TCOF1,PRRC2C,MAP4K4,SEPN1,KDM1A,SIN3A,SLC26A6,PARD3,KAZN,MAPK1,ARHGAP35,DOCK7,ZBTB7A,MAPK14,NUMB,ANKRD27,ACIN1,RTN4,MINK1,ETV6,RBMX,L1CAM,ITGB4,NR2C2,CSF1,PDCD4,ABCA2,LIMK1,MAP1S,ITGAV,EGFR,CAMSAP2,DSP,KMT2D,SPEN,CIT,DLG5,RBL1,CSNK1D,SNW1,SHANK2,CALR,SCRIB,WNK1,FAM134C,ABL2,SETD2,PKP4,SPTBN2,SIPA1L1,NDRG3,TOPORS,SORBS2,GATA6,EP300,IRS2,UNK,MICALL2,PRRC2A,ARHGEF2,TRIO,WDR62,HIF1A,MARK2,PALLD,EIF2AK3,RAPGEF1,NRBP2,SIPA1L3,ADAM9,TNIK,DNPH1,LEMD2,KRT18,TAOK1,OSBPL11,TJP2,PRKCI,EPHA2,MLLT4,NHS,ADCY6,PHACTR4,NOLC1,TANC2,SIRT1	2.03046258849469	0.441280845375116	91	267
REGULATION OF CELLULAR PROTEIN LOCALIZATION%GOBP%GO:1903827	REGULATION OF CELLULAR PROTEIN LOCALIZATION%GOBP%GO:1903827	0.00198019801980198	0.0115472951485813	1	SEC16A,USP36,SPTBN1,RAB11FIP5,KDM1A,SIN3A,C2CD5,NUMB,RTN4,BAD,ABLIM3,ABCA2,CDCA5,EGFR,CLN3,MTCL1,GBF1,ZDHHC5,SETD2,MIEF1,FAM65A,OTUD7B,MICALL2,EIF2AK3,CTNNA1,ROCK2,CROCC,SP100,PRKCI,DLG1,EPHA2,PPFIA1,TP53BP2,HUWE1,NEDD4L,PCNT,PRKAA1,BAG3,TMEM59,ATP2B4,NMD3	1.93936789688213	0.482268537247125	41	101
MRNA PROCESSING%GOBP%GO:0006397	MRNA PROCESSING%GOBP%GO:0006397	0.00198019801980198	0.0115472951485813	1	SRRM2,HNRNPD,TRA2A,SRRM1,YBX1,TRA2B,GTF2F1,PRPF40A,CDK7,SRSF10,RBM15B,LUC7L,DGCR14,NHP2L1,SF3B1,PRPF4B,RNPC3,RBMX,CWF19L2,RNPS1,SCAF11,SRSF9,SRSF4,MFAP1,SPEN,SNW1,CD2BP2,U2SURP,U2AF2,BUD13,CLNS1A,ZCCHC8,SRSF1,SRRT,SFSWAP,HNRNPM,SNRNP70,SON,RBMX2	2.07539142075963	0.516093922310507	39	101
REGULATION OF DEVELOPMENTAL PROCESS%GOBP%GO:0050793	REGULATION OF DEVELOPMENTAL PROCESS%GOBP%GO:0050793	0.00198412698412698	0.0115472951485813	1	CASZ1,PAK4,CDC42EP4,DBN1,LMNA,IL6ST,YBX1,KDM1A,SIN3A,ZC3H13,PARD3,PRPF40A,ARHGAP35,WWC3,LRFN4,DOCK7,MAPK14,NUMB,BNIP3,BCL9L,PML,KMT2A,ARHGEF18,ACIN1,SYDE1,RTN4,BAD,L1CAM,NR2C2,CSF1,PDCD4,CLASP2,LIMK1,DPF2,ITGAV,EGFR,VANGL1,CAMSAP2,RNH1,KMT2D,PRKD2,SPEN,DLG5,RBL1,CSNK1D,SNW1,MBP,STIM1,PRKCZ,FAM171A1,ANKRD54,SHANK2,CALR,EIF6,PHIP,WNK1,FAM134C,TP53BP1,CLASP1,ABL2,EIF4G1,PHLDB1,MIEF1,SIPA1L1,SPRY2,GATA6,EP300,PHLDB2,ZMYM4,ARHGEF2,HSPB1,TRIO,HIF1A,MARK2,FMNL3,EIF2AK3,RAPGEF1,CTNNA1,SUZ12,ROCK2,ADAM9,TNIK,EPS8,SPRED2,ANO6,RIPK1,NBR1,PA2G4,ERRFI1,SP100,PRKCI,DLG1,EPHA2,ADCY6,PPP1R13L,TANC2,SIRT1,TRIP12,PLCG1,CENPF,SRSF6,HUWE1,TXLNG,NEDD4L,BAG6,EPN2,NRP1,RIF1,ALDOA,BAIAP2,ZFP36L2,AQP1,LARP4,ATP2B4,TGFBR2,COL4A2,DAB2IP,ITCH,RAF1	2.14059790265329	0.463906497301422	119	275
CHROMATIN ORGANIZATION%GOBP%GO:0006325	CHROMATIN ORGANIZATION%GOBP%GO:0006325	0.00198807157057654	0.0115472951485813	1	HIRIP3,USP36,KAT6A,TRERF1,KDM1A,SIN3A,CHAF1A,YEATS2,SUDS3,SMARCA5,RBM14,ZBTB7A,SUPT16H,KMT2A,SPHK2,MAP3K7,KMT2D,ACTR8,PER1,PBRM1,CHD1,KANSL1,SETD2,RING1,EP300,GSG2,BAZ1A,INO80	1.84011546879517	0.454292651274421	28	106
REGULATION OF CELLULAR COMPONENT ORGANIZATION%GOBP%GO:0051128	REGULATION OF CELLULAR COMPONENT ORGANIZATION%GOBP%GO:0051128	0.00199203187250996	0.0115472951485813	1	HNRNPD,SLC9A1,PAK4,CDC42EP4,DBN1,USP36,ATXN2L,MAP4K4,SYTL4,KDM1A,SIN3A,MAPK1,C2CD5,PRPF40A,RBM14,ARHGAP35,LRFN4,MAPK14,BNIP3,BCL9L,PML,MED24,KMT2A,ARHGEF18,ANKRD27,FNBP1L,SYDE1,RBSN,RTN4,ARFIP1,BAD,SPHK2,L1CAM,TBC1D10B,ABLIM3,CLASP2,MAD1L1,ABCA2,LIMK1,MAP1S,ITGAV,CDCA5,EGFR,CAMSAP2,CLN3,PPHLN1,TBC1D9B,ATAD3A,FXR2,PRKD2,DLG5,RPTOR,SKA3,OPTN,SNW1,AJUBA,GAS2L1,PRKCZ,FAM171A1,SHANK2,CALR,BCLAF1,UPF1,PHIP,TMEM55A,SVIL,RIC1,FAM134C,SLAIN2,CLASP1,ABL2,EIF4G1,PHLDB1,MIEF1,SIPA1L1,SPRY2,NDRG3,CENPE,AIDA,SSH1,EP300,BAIAP2L1,PHLDB2,INO80,ZMYM4,RAB7A,MICALL2,ARHGEF2,JUN,UNC13B,MARK2,SCFD1,FMNL3,EI24,RAPGEF1,MKI67,SIPA1,ROCK2,ADAM9,TNIK,DNPH1,TBC1D10A,EPS8,USP47,SMCR8,MED14,ANO6,LIMA1,TAOK1,CROCC,KDM5A,TOM1L2,PRKCI,DLG1,EPHA2,MORC2,ADCY6,HNRNPA2B1,PPFIA1,TANC2,TMSB4X,SIRT1,AAK1,ARFGAP1,TRIP12,PHF2,TP53BP2,CENPF,HUWE1	2.13325347318254	0.44953540661778	129	360
RNA SPLICING%GOBP%GO:0008380	RNA SPLICING%GOBP%GO:0008380	0.00199203187250996	0.0115472951485813	1	SRRM2,HNRNPD,TRA2A,SRRM1,YBX1,TRA2B,GTF2F1,PRPF40A,SRSF10,RBM15B,LUC7L,DGCR14,NHP2L1,SF3B1,PRPF4B,RNPC3,RBMX,CWF19L2,RNPS1,SCAF11,SRSF9,SRSF4,MFAP1,SPEN,SNW1,CD2BP2,U2SURP,U2AF2,BUD13,CLNS1A,ZCCHC8,SRSF1,SRRT,SFSWAP,HNRNPM,SNRNP70	2.11215227614713	0.530379210846432	36	95
ANATOMICAL STRUCTURE DEVELOPMENT%GOBP%GO:0048856	ANATOMICAL STRUCTURE DEVELOPMENT%GOBP%GO:0048856	0.00199203187250996	0.0115472951485813	1	CASZ1,SEC16A,DBN1,KAT6A,SPTBN1,IL6ST,TCOF1,PRRC2C,MAP4K4,SEPN1,RELT,YBX1,KDM1A,SIN3A,SLC26A6,ERC1,PARD3,KAZN,MAPK1,SUDS3,MCM2,SLC2A1,ARHGAP35,DOCK7,ZBTB7A,MAPK14,NUMB,MSH3,PDLIM2,DGCR14,KMT2A,ANKRD27,ACIN1,ARHGEF28,RTN4,MINK1,ETV6,L1CAM,ITGB4,NR2C2,CSF1,PDCD4,ABCA2,LIMK1,MAP1S,DPF2,ITGAV,EGFR,CAMSAP2,DSP,KMT2D,PGRMC2,PRKD2,SPEN,CIT,DLG5,CSNK1D,MID1,SNW1,MBP,STIM1,SHROOM3,ABLIM1,SHANK2,CALR,SCRIB,WNK1,SVIL,RIC1,FAM134C,ATXN1,ABL2,SETD2,PKP4,SPTBN2,SIPA1L1,PTS,SPRY2,AIDA,SSH1,TOPORS,SORBS2,GATA6,EP300,IRS2,UNK,ZMYM4,HECTD1,KIAA1217,MICALL2,ARHGEF2,TRIO,WDR62,HIF1A,MARK2,SCFD1,GNB4,PALLD,EIF2AK3,RAPGEF1,NRBP2,ROCK2,SIPA1L3,ADAM9,TNIK,LRCH4,DNPH1,LEMD2,TLE3,KRT18,UTP3,TAOK1,ERRFI1,TJP2,PRKCI,EPHA2,MLLT4,NHS,ADCY6,PHACTR4,NOLC1,TANC2,SIRT1,PHF2,SEC61A1,PLCG1,CENPF,PCDH1,IFI16,PHF3,NEDD4L,RPL13,SBDS,BAG6	2.05702829785265	0.433472657574032	134	360
REGULATION OF MRNA METABOLIC PROCESS%GOBP%GO:1903311	REGULATION OF MRNA METABOLIC PROCESS%GOBP%GO:1903311	0.00199203187250996	0.0115472951485813	1	HNRNPD,CARHSP1,NELFE,TRA2A,YBX1,TRA2B,KIAA1429,RBM39,C9orf78,SRSF10,ZBTB7A,RBM15B,MAPK14,RBMX,RNPS1,THRAP3,SRSF9,SRSF4,FXR2,VIM,SNW1,LARP1,UPF1,EIF4G1,U2AF2,RBMXL1,GIGYF2,SRSF1,HSPB1,SFSWAP,HNRNPM,SON,ROCK2,SLTM	2.2763619132114	0.571613632579696	34	95
POSITIVE REGULATION OF NITROGEN COMPOUND METABOLIC PROCESS%GOBP%GO:0051173	POSITIVE REGULATION OF NITROGEN COMPOUND METABOLIC PROCESS%GOBP%GO:0051173	0.00199600798403194	0.0115472951485813	1	HNRNPD,BCL3,CASZ1,EEF2,SLC9A1,PAK4,KAT6A,TELO2,IL6ST,TRA2A,MAP4K4,TRERF1,YBX1,KDM1A,SIN3A,TRA2B,ARAF,MAPK1,GTF2F1,SMARCA5,CDK7,RBM14,DOCK7,FOXK1,MAPK14,BCL9L,PML,RB1CC1,SUPT16H,MED24,FOSL2,KMT2A,MED10,ADCY9,MED19,MINK1,RBMX,BAD,SPHK2,NR2C2,CSF1,THRAP3,AIFM1,ABCA2,DPF2,EGFR,CXorf23,MAP3K7,CCNY,TNKS1BP1,PPHLN1,KMT2D,FXR2,PRKD2,RPTOR,RBL1,VIM,CSNK1D,MID1,NFIC,SNW1,LARP1,MBP,PRKCZ,PER1,ZNF318,RLF,BCLAF1,LPIN1,EIF6,UPF1,PHIP,HACD3,ZNF462,TP53BP1,EIF4G1,U2AF2,LMO7,SPRY2,RBMXL1,CENPE,TOPORS,GATA6,EP300,MARCH7,INO80,RAB7A,GIGYF2,ARHGEF2,JUN,HIF1A,MARK2,ANKIB1,EIF2AK3,PRKAG2,RAPGEF1	1.91948141158879	0.403609445933903	96	372
REGULATION OF CELL MIGRATION%GOBP%GO:0030334	REGULATION OF CELL MIGRATION%GOBP%GO:0030334	0.00199600798403194	0.0115472951485813	1	LMNA,MAP4K4,MAPK1,DOCK7,MAPK14,NUMB,ZMYND8,SYDE1,RTN4,MINK1,CSF1,CLASP2,SRGAP1,EGFR,CLN3,PRKD2,DLG5,CALR,WNK1,CLASP1,SPRY2,PHLDB2,FAM65A,ARHGEF2,HSPB1,HIF1A,ROCK2,ADAM9,ANO6,PTPRK,SP100,EPHA2,MLLT4,TMSB4X,SIRT1,PLCG1,ADAM17,NRP1,AMOTL2,ATP2B4,DAB2IP,RFFL,BCAR1,FAM83H,KIAA1462	1.71338663200664	0.425003312031447	45	104
REGULATION OF PROTEIN KINASE ACTIVITY%GOBP%GO:0045859	REGULATION OF PROTEIN KINASE ACTIVITY%GOBP%GO:0045859	0.00199600798403194	0.0115472951485813	1	PAK4,TELO2,MAP4K4,MAPK1,CDK7,MAPK14,ADCY9,MINK1,CSF1,PDCD4,EGFR,MAP3K7,CCNY,RPTOR,ANKRD54,HACD3,SPRY2,CENPE,AIDA,HSPB1,MARK2,PRKAG2,RAPGEF1,ADAM9,TNIK,SMCR8,SPRED2,RIPK1,TAOK1,MADD,ERRFI1,ADCY6,SIRT1,CCNYL1,ADAM17,ARHGEF5,PRKAA1,ATP2B4,TGFBR2,DAB2IP,RAF1,MVP	1.78817513529327	0.446056640030673	42	100
