Term	Description	p.Val	FDR	Phenotype	Genes	NES	ES	Gene_Hits	Gene_Total
VESICLE-MEDIATED TRANSPORT%REACTOME DATABASE ID RELEASE 74%5653656	VESICLE-MEDIATED TRANSPORT%REACTOME DATABASE ID RELEASE 74%5653656	0.00153139356814701	0.0534104882459313	-1	CENPE,MVB12A,PACSIN1,PRKAA2,PLIN3,C2CD5,ARFGAP1,TSC2,CSNK1D,SEC22B,LNPEP,REPS2,TFRC,AAK1,OPTN,TBC1D25,CHMP2B,MIA3,KLC2,KIF2C,NAA38,KLC4,PIK3C2A,PRKAG2,ARPC3,RAB7A,FNBP1,RABGEF1,CHMP3,DYNC1I2,DYNC1H1,WASL,PRKAB2,HSP90AA1,ALS2,SNX9,PPP6R3,EXOC2,EXOC1	-1.55846571069484	-0.394032130080337	39	122
MEMBRANE TRAFFICKING%REACTOME%R-HSA-199991.6	MEMBRANE TRAFFICKING%REACTOME%R-HSA-199991.6	0.00153609831029186	0.0534104882459313	-1	CENPE,MVB12A,PACSIN1,PRKAA2,PLIN3,C2CD5,ARFGAP1,TSC2,CSNK1D,SEC22B,LNPEP,REPS2,TFRC,AAK1,OPTN,TBC1D25,CHMP2B,MIA3,KLC2,KIF2C,NAA38,KLC4,PIK3C2A,PRKAG2,ARPC3,RAB7A,FNBP1,RABGEF1,CHMP3,DYNC1I2,DYNC1H1,WASL,PRKAB2,ALS2,SNX9,PPP6R3,EXOC2,EXOC1	-1.5826238107249	-0.401180999028212	38	119
MEIOTIC CELL CYCLE%GOBP%GO:0051321	MEIOTIC CELL CYCLE%GOBP%GO:0051321	0.00213675213675214	0.0534104882459313	1	TOP2A,MSH3,CENPC,TOP2B,INCENP,NCAPH2,MRE11A,SMC1A,BRIP1,NCAPD2	2.31308171419804	0.8264084001522	10	17
MRNA 3'-END PROCESSING%REACTOME DATABASE ID RELEASE 74%72187	MRNA 3'-END PROCESSING%REACTOME DATABASE ID RELEASE 74%72187	0.00214132762312634	0.0534104882459313	1	SRRM1,SRSF9,ZC3H11A,SRSF11,SRSF4,RBM8A,SRSF1,CSTF3,RNPS1,CPSF7	1.99849209160499	0.698561945778714	10	18
PKMTS METHYLATE HISTONE LYSINES%REACTOME%R-HSA-3214841.3	PKMTS METHYLATE HISTONE LYSINES%REACTOME%R-HSA-3214841.3	0.00214592274678112	0.0534104882459313	1	HIST1H4A,KMT2A,SUZ12,DOT1L,KMT2B,SETD2,EZH2,KMT2C,SETD1B	1.88907395307039	0.703249494945797	9	15
MEIOTIC CELL CYCLE PROCESS%GOBP%GO:1903046	MEIOTIC CELL CYCLE PROCESS%GOBP%GO:1903046	0.00214592274678112	0.0534104882459313	1	TOP2A,MSH3,CENPC,TOP2B,INCENP,NCAPH2,MRE11A,BRIP1,NCAPD2	2.22558916633407	0.82852471425874	9	15
EXTRACELLULAR MATRIX ORGANIZATION%REACTOME%R-HSA-1474244.2	EXTRACELLULAR MATRIX ORGANIZATION%REACTOME%R-HSA-1474244.2	0.00215982721382289	0.0534104882459313	1	PLEC,FURIN,COL5A1,MFAP1,PSEN1,COL4A2,ITGAV,COL17A1,ITGB4,SH3PXD2A,CD44	1.95409448307166	0.653743382875325	11	21
CHROMATIN ASSEMBLY%GOBP%GO:0031497	CHROMATIN ASSEMBLY%GOBP%GO:0031497	0.00215982721382289	0.0534104882459313	1	RSF1,NOC2L,CHAF1B,CENPC,HIST1H4A,CHAF1A,SMARCA5,HMGA1,CENPA,DAXX,CENPU,ATRX,SIRT1	2.02168962993691	0.676357376395321	13	21
REGULATION OF DNA BINDING%GOBP%GO:0051101	REGULATION OF DNA BINDING%GOBP%GO:0051101	0.00215982721382289	0.0534104882459313	1	BCL3,RSF1,SUMO1,KDM1A,PSEN1,SIN3A,DOT1L,SP100,NIPBL,CDCA5,TMSB4X,ZBTB7A,RB1	2.09383720194268	0.700494386247142	13	21
REGULATION OF TELOMERE MAINTENANCE%GOBP%GO:0032204	REGULATION OF TELOMERE MAINTENANCE%GOBP%GO:0032204	0.0021978021978022	0.0534104882459313	1	HNRNPA2B1,HNRNPD,HNRNPC,PML,MRE11A,HNRNPA1,TERF1	1.96432790738233	0.652505104776363	7	22
POSITIVE REGULATION OF CHROMATIN ORGANIZATION%GOBP%GO:1905269	POSITIVE REGULATION OF CHROMATIN ORGANIZATION%GOBP%GO:1905269	0.00221238938053097	0.0534104882459313	1	TRIM28,PPHLN1,KMT2A,KDM1A,SIN3A,AKAP8,MORC2,KAT7,NIPBL,MPHOSPH8,PRKD2,RIF1,SNW1,SIRT1,CTR9,RNF20	2.01108804765972	0.666062701616607	16	23
MRNA 3'-END PROCESSING%GOBP%GO:0031124	MRNA 3'-END PROCESSING%GOBP%GO:0031124	0.00221238938053097	0.0534104882459313	1	SRRM1,SRSF9,ZC3H11A,SRSF11,SRSF4,RBM8A,SRSF1,LEO1,RPRD2,CSTF3,RNPS1,CPSF7	1.97193844083371	0.653096539881368	12	23
