Metabolite	feature_identifier	Edge_Type	Display_Name
HMDB0036855	Row.1288_43629	mz_met	mz199.0986
HMDB0000350	Row.1288_43629	mz_met	mz199.0986
HMDB0000424	Row.1288_43629	mz_met	mz199.0986
HMDB0029189	Row.1288_43629	mz_met	mz199.0986
HMDB0000603	Row.1288_43629	mz_met	mz199.0986
HMDB0013227	Row.1288_43629	mz_met	mz199.0986
HMDB0030989	Row.1288_43629	mz_met	mz199.0986
HMDB0030990	Row.1288_43629	mz_met	mz199.0986
HMDB0034491	Row.1288_43629	mz_met	mz199.0986
HMDB0034971	Row.1288_43629	mz_met	mz199.0986
HMDB0036715	Row.1288_43629	mz_met	mz199.0986
HMDB0060606	Row.1288_43629	mz_met	mz199.0986
HMDB0031302	Row.1288_43629	mz_met	mz199.0986
HMDB0032314	Row.1288_43629	mz_met	mz199.0986
HMDB0032442	Row.1288_43629	mz_met	mz199.0986
HMDB0035135	Row.1288_43629	mz_met	mz199.0986
HMDB0036177	Row.1288_43629	mz_met	mz199.0986
HMDB0036239	Row.1288_43629	mz_met	mz199.0986
HMDB0037276	Row.1288_43629	mz_met	mz199.0986
HMDB0038268	Row.1288_43629	mz_met	mz199.0986
HMDB0038697	Row.1288_43629	mz_met	mz199.0986
HMDB0040285	Row.1288_43629	mz_met	mz199.0986
HMDB0060285	Row.1288_43629	mz_met	mz199.0986
HMDB0032311	Row.1288_43629	mz_met	mz199.0986
HMDB0036176	Row.1288_43629	mz_met	mz199.0986
HMDB0037167	Row.1288_43629	mz_met	mz199.0986
HMDB0037196	Row.1288_43629	mz_met	mz199.0986
HMDB0037625	Row.1288_43629	mz_met	mz199.0986
HMDB0039651	Row.1288_43629	mz_met	mz199.0986
HMDB0039652	Row.1288_43629	mz_met	mz199.0986
HMDB0039673	Row.1288_43629	mz_met	mz199.0986
HMDB0039680	Row.1288_43629	mz_met	mz199.0986
HMDB0039681	Row.1288_43629	mz_met	mz199.0986
HMDB0040463	Row.1288_43629	mz_met	mz199.0986

HMDB0040526	Row.1288_43629	mz_met	mz199.0986
HMDB0060682	Row.1288_43629	mz_met	mz199.0986
HMDB0000509	Row.1288_43629	mz_met	mz199.0986
HMDB0001470	Row.1288_43629	mz_met	mz199.0986
HMDB0001862	Row.1288_43629	mz_met	mz199.0986
HMDB0002167	Row.1288_43629	mz_met	mz199.0986
HMDB0029599	Row.1288_43629	mz_met	mz199.0986
HMDB0029608	Row.1288_43629	mz_met	mz199.0986
HMDB0031178	Row.1288_43629	mz_met	mz199.0986
HMDB0031598	Row.1288_43629	mz_met	mz199.0986
HMDB0031602	Row.1288_43629	mz_met	mz199.0986
HMDB0031648	Row.1288_43629	mz_met	mz199.0986
HMDB0032351	Row.1288_43629	mz_met	mz199.0986
HMDB0032385	Row.1288_43629	mz_met	mz199.0986
HMDB0032459	Row.1288_43629	mz_met	mz199.0986
HMDB0033840	Row.1288_43629	mz_met	mz199.0986
HMDB0033978	Row.1288_43629	mz_met	mz199.0986
HMDB0035143	Row.1288_43629	mz_met	mz199.0986
HMDB0129418	Row.1288_43629	mz_met	mz199.0986
HMDB0130837	Row.1288_43629	mz_met	mz199.0986
HMDB0132474	Row.1288_43629	mz_met	mz199.0986
HMDB0170858	Row.1288_43629	mz_met	mz199.0986
HMDB0034233	Row.1288_43629	mz_met	mz199.0986
HMDB0061873	Row.1288_43629	mz_met	mz199.0986
HMDB0061874	Row.1288_43629	mz_met	mz199.0986
HMDB0014857	Row.8_25268	mz_met	mz325.149
HMDB0041047	Row.876_19913	mz_met	mz547.2079
HMDB0035971	Row.876_19913	mz_met	mz547.2079
HMDB0041819	Row.876_19913	mz_met	mz547.2079
HMDB0031237	Row.876_19913	mz_met	mz547.2079
HMDB0028803	Row.1249_26331	mz_met	mz830.3296
HMDB0028971	Row.1249_26331	mz_met	mz830.3296
HMDB0028987	Row.1249_26331	mz_met	mz830.3296
HMDB0033355	Row.1249_26331	mz_met	mz830.3296
HMDB0034110	Row.1249_26331	mz_met	mz830.3296
HMDB0038493	Row.1249_26331	mz_met	mz830.3296
HMDB0038673	Row.1282_27621	mz_met	mz955.3961
HMDB0059790	Row.1282_27621	mz_met	mz955.3961
HMDB0032771	Row.1282_27621	mz_met	mz955.3961
HMDB0032774	Row.1282_27621	mz_met	mz955.3961
HMDB0031918	Row.1282_27621	mz_met	mz955.3961
HMDB0060521	Row.487_18954	mz_met	mz702.2682
HMDB0040384	Row.487_18954	mz_met	mz702.2682
HMDB0034151	Row.317_31523	mz_met	mz169.1596
HMDB0030941	Row.317_31523	mz_met	mz169.1596
HMDB0030943	Row.317_31523	mz_met	mz169.1596
HMDB0031016	Row.317_31523	mz_met	mz169.1596
HMDB0031064	Row.317_31523	mz_met	mz169.1596
HMDB0031065	Row.317_31523	mz_met	mz169.1596
HMDB0032371	Row.317_31523	mz_met	mz169.1596
HMDB0032379	Row.317_31523	mz_met	mz169.1596
HMDB0033713	Row.317_31523	mz_met	mz169.1596
HMDB0034856	Row.317_31523	mz_met	mz169.1596
HMDB0029747	Row.64_32415	mz_met	mz339.1648
HMDB0059782	Row.977_22794	mz_met	mz734.3122
HMDB0015371	Row.650_63856	mz_met	mz231.1393
HMDB0030917	Row.650_63856	mz_met	mz231.1393
HMDB0031901	Row.650_63856	mz_met	mz231.1393
HMDB0034721	Row.650_63856	mz_met	mz231.1393
HMDB0035117	Row.650_63856	mz_met	mz231.1393
HMDB0035137	Row.650_63856	mz_met	mz231.1393
HMDB0035148	Row.650_63856	mz_met	mz231.1393
HMDB0035358	Row.650_63856	mz_met	mz231.1393
HMDB0035760	Row.650_63856	mz_met	mz231.1393
HMDB0035798	Row.650_63856	mz_met	mz231.1393
HMDB0036036	Row.650_63856	mz_met	mz231.1393
HMDB0036037	Row.650_63856	mz_met	mz231.1393
HMDB0036550	Row.650_63856	mz_met	mz231.1393
HMDB0036563	Row.650_63856	mz_met	mz231.1393
HMDB0036664	Row.650_63856	mz_met	mz231.1393
HMDB0037064	Row.650_63856	mz_met	mz231.1393
HMDB0037529	Row.650_63856	mz_met	mz231.1393
HMDB0037559	Row.650_63856	mz_met	mz231.1393
HMDB0039156	Row.650_63856	mz_met	mz231.1393
HMDB0039635	Row.650_63856	mz_met	mz231.1393
HMDB0039644	Row.650_63856	mz_met	mz231.1393
HMDB0040754	Row.650_63856	mz_met	mz231.1393
HMDB0061839	Row.650_63856	mz_met	mz231.1393
HMDB0030761	Row.650_63856	mz_met	mz231.1393
HMDB0030790	Row.650_63856	mz_met	mz231.1393
HMDB0031000	Row.650_63856	mz_met	mz231.1393
HMDB0035412	Row.650_63856	mz_met	mz231.1393
HMDB0035906	Row.650_63856	mz_met	mz231.1393
HMDB0035934	Row.650_63856	mz_met	mz231.1393
HMDB0036110	Row.650_63856	mz_met	mz231.1393
HMDB0036119	Row.650_63856	mz_met	mz231.1393
HMDB0036148	Row.650_63856	mz_met	mz231.1393
HMDB0036206	Row.650_63856	mz_met	mz231.1393
HMDB0036688	Row.650_63856	mz_met	mz231.1393

HMDB0036766	Row.650_63856	mz_met	mz231.1393
HMDB0036881	Row.650_63856	mz_met	mz231.1393
