Term	Description	p.Val	FDR	Phenotype	Genes	NES	ES	Gene_Hits	Gene_Total
GLUTAMATE DEGRADATION II	GLUTAMATE DEGRADATION II	9.99900009999e-05	0.000931485798788542	1	SARS,AARS,GARS,TARS,HSPA5,ATIC,ENO2,ATP6V1B2,NARS,ATP6V1C1,PGD,PFKM,C11ORF68,ATP6V1E1,GAPDH,PFKL,FKBP1A,LARS,NEDD4L,ACSS2,PFKP,HSPA6,UGP2,SHMT1,IARS,CTPS1,PPA1,UBA1,AHCY,EEF2,ISYNA1,OAT,HSPH1,NUTF2,HSPA4,EPB41,DSTN,NPEPPS,ALDOA,HSP90AA1,RRM2,EIF4A1,TNIK,ACTB,ACAT2,HLA-B,PACSIN3,PRDX2,EIF4A2,HMGCS1,HSP90AB1,CS,HIST1H4A,OLA1	1.43389303909348	0.506146119516735	54	144
ASPARTATE BIOSYNTHESIS	ASPARTATE BIOSYNTHESIS	9.99900009999e-05	0.000931485798788542	1	SARS,AARS,GARS,TARS,HSPA5,ATIC,ENO2,ATP6V1B2,NARS,ATP6V1C1,PGD,PFKM,C11ORF68,ATP6V1E1,GAPDH,PFKL,FKBP1A,LARS,NEDD4L,ACSS2,PFKP,HSPA6,UGP2,SHMT1,IARS,CTPS1,PPA1,UBA1,AHCY,EEF2,ISYNA1,OAT,HSPH1,NUTF2,HSPA4,EPB41,DSTN,NPEPPS,ALDOA,HSP90AA1,RRM2,EIF4A1,TNIK,ACTB,ACAT2,HLA-B,PACSIN3,PRDX2,EIF4A2,HMGCS1,HSP90AB1,CS,HIST1H4A,OLA1	1.43389303909348	0.506146119516735	54	144
PROLINE BIOSYNTHESIS I	PROLINE BIOSYNTHESIS I	9.99900009999e-05	0.000931485798788542	1	SDCBP,GFPT1,APP,XPOT,VCAM1,GALT,HSPA5,ENO2,ATP6V1B2,PFKM,ATOX1,TUBB3,TUBB4B,GAPDH,SUZ12,PFKL,NUDT5,GART,NAP1L1,EED,NUDT21,PFKP,HSPA6,AHNAK2,BAG3,CTPS1,ARMC6,AHCY,EEF2,NAP1L4,TUBA4A,PYCRL,RNF2,PARK7,HSPH1,HSPA4,HNRNPD,EIF2B2,IPO7,HNRNPH2,HSP90AA1,CAD,RRM2,EIF2B5,CCT8,STIP1,ACTB,PPID,EGFR,PRDX2,ME2,MDC1,HSP90AB1,CS,BABAM1,CCT7,MMS19,COPB1,CCT4,YWHAG,DDX55,KPNB1,CTPS2,IDH3A,TP53BP1,EIF2S2,HSPA1B,NSF,MAPK1,ATP6V1D,WRAP73,TCP1,CSNK1D,RC3H1	1.34467528022384	0.470961412061049	74	178
PROLINE BIOSYNTHESIS II (FROM ARGININE)	PROLINE BIOSYNTHESIS II (FROM ARGININE)	9.99900009999e-05	0.000931485798788542	1	SDCBP,SARS,MAP1LC3A,AARS,GFPT1,APP,GARS,XPOT,TARS,GYS1,VCAM1,GALT,HSPA5,ENO2,TOP2B,GOT1,ATP6V1B2,CNDP2,ATP6V1A,IDH1,NARS,PRKAR1A,ATP6V1C1,PGD,PFKM,HUWE1,H2AFX,ATOX1,UBE2V1,TUBB3,PRKAR1B,IMPDH2,ATP6V1E1,TUBB4B,IPO4,GAPDH,SUZ12,PFDN2,PFKL,FKBP1A,ISCA2,LARS,NUDT5,NEDD4L,GART,NAP1L1,ACSS2,EED,SEC31A,NUDT21,APRT,GMPPB,RBMX2,TOP2A,PFKP,HSPA6,PGM1,AHNAK2,BAG3,UGP2,SHMT1,IARS,CTPS1,POLR2A,PPA1,UBA1,ARMC6,AHCY,EEF2,NAP1L4,OAT,PRKAA2,TUBA4A,PYCRL,RNF2,PARK7,HSPH1,NUTF2,HSPA4,SDSL,HNRNPD,NAA15,TSR1,DSTN,HIST2H2BE,EIF2B2,PSMD11,MARS,IPO7,HNRNPH2,HSP90AA1,CCT5,POLR3B,CAD,RRM2,MRE11A,EIF2B5,CCT8,DNM1L,PYGB,STIP1,ATF2,ARPC4,EIF4A1,FECH,PWP1,ACACA,ACTB,ACAT2,PPID,EGFR,HLA-B,PRDX2,ME2,EIF4A2,MDC1,ARPC3,HMGCS1,XPNPEP3,HSP90AB1,CS,HIST1H4A,BABAM1,OLA1,SMC4,CCT7,HIST2H3A,MMS19,PPIA,PPP2CB,KRI1,COPB1,NFKB1,TP53RK,CCT4,YWHAG,DDX55,EIF6,PSMD7,SLC35F6,NSFL1C,CCT3,KPNB1,TALDO1,CTPS2,IDH3A,TP53BP1,SUPT16H,EIF2S2,SSRP1,HSPA1B,NSF,MAPK1,ACOX2,DLAT,GPN1,ATP6V1D,WRAP73,POLR2E,TCP1,MYL1,PRKAR2A,TOMM20,CSNK1D,RC3H1,RBM34,UBE2V2,FBXO6,FAF2,PPP6C,COPA,IMPDH1,TUBA1A,BTF3L4,IDH2,PSMB2,PSMD6,NOP56,PABPC1,ALDH2,FARSA,CIC,ARF4,TUBB6,VCP,NUP98,TUBB,MDH2,HIST2H2AB,POLR1C,MAT2A,ARPC5,AGPAT2,RAB11B,HSD17B10,GPI,MOB1B,XPO1,ETF1,ARG2,PRDX3,NAT10,POLR2C,PSMC3,RELA,CLUH,MDN1,MYO18A,NUDT3,PRUNE,SUPT5H,ARPC2,D2HGDH,FASTKD3,EIF2S3,PSMB3,NXF1,PSMA3,TUBB4A,TBL3,SEC23B,PRDX5,ASL,ICT1,PSMA5,TP53,RARS2,ACTR2	1.21031854863738	0.412703522269845	228	477
GLYCOGEN BIOSYNTHESIS II (FROM UDP-D-GLUCOSE)	GLYCOGEN BIOSYNTHESIS II (FROM UDP-D-GLUCOSE)	9.99900009999e-05	0.000931485798788542	1	PGRMC2,SARS,AARS,GFPT1,APP,GARS,CTH,PDIA4,TARS,GYS1,ASS1,HSPA5,ATIC,GYG1,WDR76,ENO2,GOT1,ATP6V1B2,ATP6V1A,MTHFD1,NARS,PRKAR1A,ATP6V1C1,PGD,PFKM,UBE2V1,TUBB3,PRKAR1B,GDI1,PPP1R7,ATP6V1E1,TUBB4B,IPO4,GAPDH,PFKL,FKBP1A,ISCA2,LARS,NEDD4L,GART,NAP1L1,ACSS2,BCAT1,AKR1A1,GMPPB,PFKP,HSPA6,STBD1,PGM1,CASK,MAP2K2,UGP2,NUP155,SHMT1,IARS,CTPS1,SNRNP200,PPA1,UBA1,AHCY,IPO5,EEF2,ISYNA1,PDIA3,PRPF6,NAP1L4,OAT,PRKAA2,TUBA4A,PPP2R4,HSPH1,NUTF2,HSPA4,GDI2,TSR1,DSTN,HIST2H2BE,OTUD5,GSK3A,EIF2B2,ISG15,NPEPPS,PSMD11,MARS,HSP90AA1,POLR3B,CAD,PUF60,RRM2,SMC3,CCT8,GPSM1,DNM1L,PYGB,EIF4A1,ELAVL1,PCBP1,DARS,ACACA,ACTB,ACAT2,PPID,PRDX2,SH3GLB1,EIF4A2,ADK,HMGCS1,HSP90AB1,CS,HIST1H4A,OLA1,SMC4,CCT7,MMS19,VBP1,PPIA,PPP2CB,AKR1D1,KRI1,CCT4,ABCG1,CCT3,TALDO1,CTPS2,IDH3A,EIF2S2,PLS3,GBE1,HSPA1B,NSF,MAPK1,KIFAP3,ATG5,ABCA1,DLAT,GPN1,RBBP5,KCTD5,POLR2E,TCP1,PRKAR2A,SNX24,CSNK1D,TKT,UBE2V2,CPSF1,PSMB1,PPP6C,COPA,PLS1,CSE1L,TUBA1A,BTF3L4,ATL1,PSMD6,PFDN4,IKBKG,PABPC1,LIG1,ALDH2,FARSA,COPS5,ATE1,ARF4,TUBB6,EPC2,VCP,MPI,TUBB,MDH2,MPHOSPH10	1.26919981431782	0.434586230416839	171	396
RETINOATE BIOSYNTHESIS I	RETINOATE BIOSYNTHESIS I	9.99900009999e-05	0.000931485798788542	1	SARS,AARS,GFPT1,GARS,XPOT,CTH,PDIA4,TARS,GYS1,ASS1,GALT,HSPA5,ATIC,PLK1,ENO2,TOP2B,GOT1,ATP6V1B2,CNDP2,ATP6V1A,MTHFD1,NARS,PRKAR1A,ATP6V1C1,PGD,PFKM,H2AFX,TUBB3,PRKAR1B,GDI1,GNB4,IMPDH2,PPP1R7,ATP6V1E1,TUBB4B,IPO4,GAPDH,PFKL,FKBP1A,ISCA2,LARS,NEDD4L,SKIV2L2,GART,NAP1L1,ACSS2,BCAT1,AKR1A1,GMPPB,TOP2A,PFKP,HSPA6,PGM1,MAP2K2,UGP2,SIN3A,SHMT1,IARS,CTPS1,SNRNP200,GNAI2,PPA1,MYO1E,SRM,UBA1,AHCY,RBBP4,IPO5,EEF2,ISYNA1,PDIA3,PRPF6,NAP1L4,POLE2,OAT,PRKAA2,TUBA4A,PYCRL,HSPH1,NUTF2,HSPA4,SDSL,GDI2,DSTN,HIST2H2BE,EIF2B2,NPEPPS,PSMD11,MARS,ENO1,HSP90AA1,CCT5,POLR3B,CAD,MYH10,RRM2,SMC3,EIF2B5,CCT8,PYGB,STIP1,EIF4A1,FECH,PWP1,DARS,ACACA,ACTB,ACAT2,PPID,PRDX2,ME2,EIF4A2,ADK,HMGCS1,XPNPEP3,HSP90AB1,CS,NVL,HIST1H4A,GNB1,OLA1,RAP2A,SMC4,LSM1,CCT7,MMS19,RAB8A,CKS1B,PPIA,PPP2CB,AKR1D1,KRI1,COPB1,GCLC,CCT4,EIF6,PSMD7,NSFL1C,CCT3,KPNB1,TALDO1,CTPS2,IDH3A,EIF2S2,PLS3,GNB2,HSPA1B,NSF,PAAF1,MAPK1,ACOX2,DLAT,DRG2,GPN1,ATP6V1D,POLR2E,TPR,MORF4L1,TCP1,MYL1,PRKAR2A,CSNK1D,TKT,RAB8B,NOM1,RBM34,CPSF1,SETD1B,PPP6C,COPA,TNPO2,PLS1,CSE1L,IMPDH1,TUBA1A,BTF3L4,EXOSC2,PSMD6,NOP56,MYH9,PPAN,GAR1,PABPC1,ALDH2,FARSA,UBE3C,ARF4,TUBB6,VCP,RBBP7,MPI	1.19033126930559	0.405772569709046	191	484
ADENINE AND ADENOSINE SALVAGE VI	ADENINE AND ADENOSINE SALVAGE VI	9.99900009999e-05	0.000931485798788542	1	AARS,GARS,CTH,PDIA4,GALT,HSPA5,ATIC,ENO2,ATP6V1B2,ATP6V1A,MTHFD1,NARS,PGD,PFKM,TUBB3,TUBB4B,GAPDH,PFKL,ACSS2,BCAT1,AKR1A1,PFKP,HSPA6,PGM1,UGP2,IARS,CTPS1,SNRNP200,PPA1,UBA1,AHCY,EEF2,PDIA3,PRPF6,TUBA4A,HSPH1,HSPA4,NPEPPS,HSP90AA1,RRM2,CCT8,PYGB,EIF4A1,DARS,ACACA,ACTB,ACAT2,DNAJC17,ME2,EIF4A2,ADK,HSP90AB1,CS,OLA1,AKR1D1,CTPS2,IDH3A,PLS3,HSPA1B,MAPK1,GPN1,CSNK1D,PPP6C,PLS1,DNAJC21,TUBA1A,PABPC1,ALDH2,TUBB6,VCP,MPI,TUBB,MDH2	1.41749487373068	0.501440407433563	73	137
<IMYO</I-INOSITOL BIOSYNTHESIS	<IMYO</I-INOSITOL BIOSYNTHESIS	9.99900009999e-05	0.000931485798788542	1	SARS,GFPT1,PDIA4,GYS1,ASS1,GALT,HSPA5,ATIC,WDR76,ENO2,GOT1,ATP6V1B2,PGD,PFKM,GDI1,GNB4,PPP1R7,PGLS,GAPDH,PFKL,FKBP1A,PREP,NEDD4L,EED,GSTO1,AKR1A1,IMPA1,PFKP,HSPA6,PGM1,UGP2,SHMT1,CTPS1,POLR2A,GNAI2,AHCY,MAPRE1,EEF2,ISYNA1,PDIA3,POLE2,PRKAA2,TUBA4A,HSPH1,GDI2,PTGES3,ENO1,ALDOA,HSP90AA1,CCT5,POLR3B,CAD,CCT8,ABCE1,PYGB,EIF4A1,ELAVL1,ACTB,WDR1,CALR,HINT1,EIF4A2,TXN,HSP90AB1,CS,GNB1,CCT7,SNX3,SNX12,HIST2H3A,MSN,AKR1B1,MMS19,PPP2CB,AKR1D1,WIPI2,ARHGDIA,CCT4,YWHAG,PSMD7,CCT3,CTPS2,EIF2S2,GNB2,HSPA1B	1.35918714456337	0.473409813427992	85	208
ASPARTATE DEGRADATION II	ASPARTATE DEGRADATION II	9.99900009999e-05	0.000931485798788542	1	SARS,MAP1LC3A,AARS,GFPT1,GARS,CTH,PDIA4,TARS,GYS1,VCAM1,GALT,HSPA5,ATIC,ENO2,WARS,GOT1,ATP6V1B2,ATP6V1A,MTHFD1,IDH1,NARS,ATP6V1C1,PGD,PFKM,PGK1,HUWE1,C11ORF68,H2AFX,TUBB3,GDI1,PPP1R7,ATP6V1E1,TUBB4B,GAPDH,PFKL,FKBP1A,ISCA2,LARS,NEDD4L,MDH1,ACSS2,BCAT1,GSTO1,AKR1A1,GMPPB,PFKP,HSPA6,PGM1,UGP2,HARS,SHMT1,IARS,CTPS1,SNRNP200,PPA1,UBA1,AHCY,MAPRE1,EEF2,ISYNA1,PDIA3,PRPF6,OAT,TUBA4A,PARK7,HSPH1,NUTF2,HSPA4,SDSL,GDI2,EPB41,NAA15,TSR1,DSTN,HIST2H2BE,ISG15,NPEPPS,ENO1,ALDOA,HSP90AA1,CCT5,POLR3B,CAD,RRM2,SMC3,CCT8,DNM1L,PYGB,STIP1,PPME1,ATF2,EIF4A1,PWP1,TNIK,DARS,ACACA,ACTB,ACAT2,YWHAZ,EGFR,HLA-B,FHIT,PACSIN3,CALR,ASF1A,PRDX2,HINT1,EIF4A2,ADK,HMGCS1,TXN,HSP90AB1,CS,HIST1H4A,C9ORF64,HIBCH,OLA1,SMC4,PHB2,CCT7,PKM,MSN,DHX15,AKR1B1,MMS19,YWHAQ,PPIA,AKR1D1,KRI1,PRPF40A,ARHGDIA,CCT4,YWHAG,PSMD7,CCT3,TALDO1,CTPS2,IDH3A,EIF2S2,PLS3,THOC7,HSPA1B,ATG5,DLAT,DRG2	1.30463335100698	0.446848972756031	145	389
L-CYSTEINE DEGRADATION II	L-CYSTEINE DEGRADATION II	9.99900009999e-05	0.000931485798788542	1	AARS,GARS,CTH,PDIA4,PSAT1,HSPA5,ATIC,ENO2,ATP6V1B2,MTHFD1,NARS,PGD,PFKM,TUBB3,TUBB4B,GAPDH,PFKL,ACSS2,BCAT1,AKR1A1,PFKP,HSPA6,PGM1,UGP2,IARS,SNRNP200,PPA1,UBA1,AHCY,EEF2,PDIA3,PRPF6,HSPH1,HSPA4,NPEPPS,HSP90AA1,RECK,PYGB,EIF4A1,ELAVL1,DARS,ACAT2,YWHAZ,EIF4A2,ADK,HSP90AB1,CS,OLA1,AKR1D1,DVL2,PPAT,IDH3A,PLS3,HSPA1B,ATG5,TOMM20,KPNA3,PLS1,CSE1L,PABPC1,ALDH2,TUBB6,VCP,MPI,TUBB,MDH2,AURKB	1.47829421682603	0.52798606986511	67	114
