Kinase.Gene,log2FC,mS,Enrichment,m,z.score,p.value
AKT1,-0.328613591819353,-0.328613591819353,-340.173822047336,18,-4.17528310434748,1.48807849531304e-05
AKT2,-0.421767462452278,-0.421767462452278,-436.60473361208,3,-2.18917544395358,0.0142920453631193
ARAF,-0.241378354512542,-0.241378354512542,-249.869754198014,2,-1.02120860783988,0.153577807490664
ATM,0.057047079143305,0.057047079143305,59.0539266540224,7,0.461017890720975,0.322392884727729
ATR,0.107911230064659,0.107911230064659,111.707417120787,6,0.801042341561307,0.211553566954811
AURKA,0.262708831921212,0.262708831921212,271.950612101756,1,0.791974909079846,0.21418765325115
AURKB,0.0957060926097999,0.0957060926097999,99.0729176357049,11,0.963030971846492,0.167765990309258
BCR,0.194732565812066,0.194732565812066,201.583022852537,1,0.587801103904268,0.278332901498528
BRAF,-0.242202747964509,-0.242202747964509,-250.723148818345,3,-1.25500882565415,0.104737778057726
CAMK2A,-0.286760923559357,-0.286760923559357,-296.848827344412,3,-1.48681806686154,0.0685314342342814
CAMK2B,-0.645121012954458,-0.645121012954458,-667.815592911951,3,-3.35114889487901,0.000402385094901346
CAMK4,-0.766412092919299,-0.766412092919299,-793.373546931609,1,-2.29909712587304,0.010749712341492
CDC7,0.0607456892828978,0.0607456892828978,62.8826494420316,3,0.321048686256315,0.374086747932335
CDK1,0.0558503732964999,0.0558503732964999,57.8151221373855,42,1.10596402041137,0.134371046371699
CDK14,-0.134574591840456,-0.134574591840456,-139.308763838332,1,-0.40130729080385,0.344096948212478
CDK2,0.0716688961564972,0.0716688961564972,74.1901215725475,53,1.58827636037251,0.0561119302982492
CDK3,-0.0872646154454261,-0.0872646154454261,-90.3344794754571,1,-0.259206842276267,0.39773782605382
CDK4,0.559726528932649,0.559726528932649,579.417033830353,1,1.68409854096542,0.0460813131500842
CDK5,0.0609298742455196,0.0609298742455196,63.073313809722,12,0.644013778463151,0.259783249645025
CDK6,0.0272547891356239,0.0272547891356239,28.2135797793053,2,0.119874587543117,0.452291247745551
CDK7,0.0601356073381967,0.0601356073381967,62.2511055495771,4,0.367050201361345,0.356790786054873
CDK9,0.00785847651158669,0.00785847651158669,8.13492824692781,1,0.0265052857442008,0.489427158833664
CHEK1,-0.156832819130954,-0.156832819130954,-162.35000874694,8,-1.324162659608,0.0927245145623356
CLK1,0.123231719666282,0.123231719666282,127.566863087603,2,0.527559436425401,0.298902576595077
CLK2,0.135662501960075,0.135662501960075,140.434945325184,2,0.580362141960092,0.280835214718396
CLK4,0.208796176152402,0.208796176152402,216.141374060013,1,0.630042624394412,0.264333348457862
CSNK1A1,-0.113984772248759,-0.113984772248759,-117.994619201176,6,-0.83151265559167,0.202842040928625
CSNK1D,-0.385089934159047,-0.385089934159047,-398.636934064652,3,-1.99836444486053,0.022838581697115
CSNK2A1,0.0869355813476375,0.0869355813476375,89.9938703545472,36,1.58412970711346,0.0565821026649346
CSNK2A2,-0.0248176949067645,-0.0248176949067645,-25.6907515118235,2,-0.101315678392352,0.459649935339052
CSNK2B,0.106557052658276,0.106557052658276,110.305601384836,1,0.322956753450952,0.373363997106349
DYRK1A,0.154713979521236,0.154713979521236,160.156630912649,1,0.4676011060458,0.320034936909155
DYRK2,-0.295010709864616,-0.295010709864616,-305.388831192082,4,-1.76638780951624,0.0386654044330849
GRK7,0.192122338305025,0.192122338305025,198.880970686748,1,0.579961013340442,0.280970454566867
GSK3A,0.21470666853941,0.21470666853941,222.259790447901,3,1.1220145539236,0.130928125929332
GSK3B,-0.152788038036933,-0.152788038036933,-158.162937127411,13,-1.64417924932609,0.0500695909528078
GTF2F1,-0.0454534234156639,-0.0454534234156639,-47.0524200865744,2,-0.188970845235172,0.425057833602291
HIPK2,0.256092734837808,0.256092734837808,265.101768694406,4,1.54420554286335,0.0612692732424024
IKBKB,1.00526345501068,1.00526345501068,1040.62741215975,1,3.02231516789108,0.00125424611435996
IKBKE,-0.367963417227332,-0.367963417227332,-380.907926902275,1,-1.10231497028105,0.135162381654654
IRAK1,0.0291302376401209,0.0291302376401209,30.1550043025442,1,0.090397238935999,0.463985775360825
LATS1,0.0248975545903793,0.0248975545903793,25.7734205628883,1,0.0776839339277434,0.469039737174676
LIMK1,0.242758370163945,0.242758370163945,251.298317137312,2,1.0352773242149,0.150269708252357
LIMK2,0.242758370163945,0.242758370163945,251.298317137312,2,1.0352773242149,0.150269708252357
MAP2K1,0.0417506775590806,0.0417506775590806,43.2194160920338,3,0.22222912742921,0.412067760280343
MAP2K2,0.043706822046213,0.043706822046213,45.2443753853502,1,0.134179530535778,0.446630305897668
MAP2K7,-0.21036855091509,-0.21036855091509,-217.769063072367,2,-0.889487088683171,0.186870679564184
MAP3K1,-0.151289177200548,-0.151289177200548,-156.611348172715,1,-0.451511291262223,0.325810544479977
MAP3K8,-0.255846820747172,-0.255846820747172,-264.847203642353,3,-1.32599068513346,0.0924213914016849
MAPK1,-0.0579380600309362,-0.0579380600309362,-59.9762511757763,29,-0.921517341320245,0.178390195856639
MAPK10,-0.202616774981561,-0.202616774981561,-209.744589001274,2,-0.856559575971972,0.19584416721652
MAPK11,-0.34913323120989,-0.34913323120989,-361.415317628411,6,-2.56156992452608,0.00521001315823503
MAPK13,-0.168168866239074,-0.168168866239074,-174.084844334013,1,-0.502211197839066,0.307759483458234
MAPK14,-0.0482671963589642,-0.0482671963589642,-49.9651781718273,10,-0.449277520482424,0.326615735957754
MAPK15,-0.0872646154454261,-0.0872646154454261,-90.3344794754571,1,-0.259206842276267,0.39773782605382
MAPK3,0.00327631786071598,0.00327631786071598,3.39157477556311,24,0.0624242384614069,0.475112496548537
MAPK8,-0.0343380393430462,-0.0343380393430462,-35.5460101947247,7,-0.265200456325707,0.395427521693937
MAPK9,-0.0869170509289553,-0.0869170509289553,-89.9746880580622,3,-0.447151252501306,0.327382927767913
MAPKAPK2,-0.361453192319242,-0.361453192319242,-374.168680125805,6,-2.65221154881904,0.00399832110263965
MARK2,-0.155078350271799,-0.155078350271799,-160.533819787203,4,-0.925784935584083,0.177278878736299
MKNK2,0.0843351018086767,0.0843351018086767,87.3019090786104,1,0.256210806327257,0.398894032410027
MOS,0.244689279528677,0.244689279528677,253.297153567027,2,1.04347932117619,0.148363176605683
MTOR,-0.120466397084458,-0.120466397084458,-124.704259789168,19,-1.56454768953915,0.0588445013037971
NEK6,0.0291302376401209,0.0291302376401209,30.1550043025442,1,0.090397238935999,0.463985775360825
NUAK1,-0.336324606744363,-0.336324606744363,-348.156101186741,1,-1.00728450307115,0.156899037354322
NUAK2,-0.336324606744363,-0.336324606744363,-348.156101186741,1,-1.00728450307115,0.156899037354322
PAK1,-0.118670798913508,-0.118670798913508,-122.845494638002,8,-0.999958137555222,0.158665383629573
PAK4,-0.113107357120362,-0.113107357120362,-117.086337665722,1,-0.336828212291931,0.368123202101997
PBK,-0.0872646154454261,-0.0872646154454261,-90.3344794754571,1,-0.259206842276267,0.39773782605382
PDK1,-0.020312137902236,-0.020312137902236,-21.0266944404253,3,-0.100646169129061,0.45991567254583
PDK2,-0.020312137902236,-0.020312137902236,-21.0266944404253,3,-0.100646169129061,0.45991567254583
PDK3,-0.008779080253018,-0.008779080253018,-9.08791771878727,2,-0.0331878464723143,0.486762394947498
PDK4,-0.008779080253018,-0.008779080253018,-9.08791771878727,2,-0.0331878464723143,0.486762394947498
PDPK1,-0.174713673002217,-0.174713673002217,-180.85988951353,5,-1.16693502350111,0.121618305332087
PIM1,-0.274639034679867,-0.274639034679867,-284.300505019279,2,-1.16249126079373,0.122517986247093
PIM2,-0.304809363689902,-0.304809363689902,-315.532189852969,1,-0.912625183520837,0.180719852364059
PIM3,-0.274639034679867,-0.274639034679867,-284.300505019279,2,-1.16249126079373,0.122517986247093
PKM,-0.0793106184227615,-0.0793106184227615,-82.1006704209601,2,-0.332787336903839,0.369647408817951
PLK1,0.0625278178112719,0.0625278178112719,64.7274711048248,13,0.687615961348593,0.245847327080305
PLK2,0.0196893481549735,0.0196893481549735,20.3819957002264,1,0.0620405426836684,0.475265272888045
PLK3,-0.0337876336452263,-0.0337876336452263,-34.9762418876154,2,-0.139417627463385,0.444560071844688
PRKAA1,-0.665650518308885,-0.665650518308885,-689.067301529638,4,-3.99289845421998,3.26352625146006e-05
PRKAA2,-0.341347170656087,-0.341347170656087,-353.355352845411,3,-1.77079729964941,0.0382972075791341
PRKACA,-0.335574262207653,-0.335574262207653,-347.379360433287,21,-4.60562955634571,2.05609934135513e-06
PRKCA,-0.24631876172936,-0.24631876172936,-254.983958988238,13,-2.65708418704092,0.00394098786056286
PRKCB,-0.168168866239074,-0.168168866239074,-174.084844334013,1,-0.502211197839066,0.307759483458234
PRKCD,-0.0638727766507883,-0.0638727766507883,-66.119743975833,3,-0.327265829382356,0.371733417433591
PRKCE,0.0388434389187045,0.0388434389187045,40.2099042990946,5,0.267370789406189,0.394591843840502
PRKCI,-0.241378354512542,-0.241378354512542,-249.869754198014,2,-1.02120860783988,0.153577807490664
PRKCQ,-0.262522024238328,-0.262522024238328,-271.757232749666,3,-1.36071773209022,0.0868014543545972
PRKCZ,0.0248975545903793,0.0248975545903793,25.7734205628883,1,0.0776839339277434,0.469039737174676
PRKD1,-0.253470845433415,-0.253470845433415,-262.387644379767,6,-1.85775325225287,0.0316020312218181
PRKD2,-0.0967721122440292,-0.0967721122440292,-100.176438556266,1,-0.287763600541697,0.386763850931582
PRKDC,0.32871942764944,0.32871942764944,340.283381054408,5,2.21425428075394,0.0134056458761376
PRKG1,-0.698140114034477,-0.698140114034477,-722.699842087556,4,-4.18807023306583,1.40668230542226e-05
PRKG2,-0.540628977247414,-0.540628977247414,-559.647653286641,2,-2.29234683067173,0.0109428187526507
RAF1,-0.241378354512542,-0.241378354512542,-249.869754198014,2,-1.02120860783988,0.153577807490664
ROCK1,-0.336414587954451,-0.336414587954451,-348.249247827386,2,-1.42489762201116,0.0770933985759042
ROCK2,-0.4437424694644,-0.4437424694644,-459.352794894159,1,-1.32992525742154,0.0917714493333981
RPS6KA1,-0.490186310324933,-0.490186310324933,-507.430474118002,9,-4.40827253260027,5.20991889231188e-06
RPS6KA2,-0.244468705669832,-0.244468705669832,-253.068820185588,1,-0.731385723633848,0.232271791448239
RPS6KA3,-0.313102664425973,-0.313102664425973,-324.117238916699,6,-2.29648231032809,0.0108241597335046
RPS6KA5,0.141055139535136,0.141055139535136,146.01728939278,1,0.426575355532104,0.334844325503743
RPS6KB1,-0.457718241672394,-0.457718241672394,-473.82021792963,3,-2.37620560711836,0.00874585652139503
RPS6KB2,-0.85565125082154,-0.85565125082154,-885.752030888471,2,-3.63047889310101,0.000141447919767036
SGK1,-0.328755746138389,-0.328755746138389,-340.32097718404,3,-1.70529173250709,0.0440700143705633
SIK1,0.158483659631251,0.158483659631251,164.058923827011,1,0.478923733433434,0.315996443072542
SMG1,-0.0620553140227409,-0.0620553140227409,-64.2383452023125,1,-0.183488076125985,0.427207536911541
SRPK1,-0.0347325925378913,-0.0347325925378913,-35.9544432955845,2,-0.143431565200569,0.442974677634404
STK3,-0.449218763663666,-0.449218763663666,-465.021738525206,1,-1.34637387822589,0.0890909854274786
STK38,0.0248975545903793,0.0248975545903793,25.7734205628883,1,0.0776839339277434,0.469039737174676
TBK1,-0.499851526002548,-0.499851526002548,-517.435700437958,1,-1.49845466090203,0.0670075819459562
TESK1,0.0966251981540245,0.0966251981540245,100.024356205585,1,0.293125392556148,0.384713154173384
TGFBR2,-0.151653694377591,-0.151653694377591,-156.988688624856,1,-0.452606156622572,0.325416182366002
VRK1,-0.0872646154454261,-0.0872646154454261,-90.3344794754571,1,-0.259206842276267,0.39773782605382
