Term	Description	p.Val	Gene_Hits	Gene_Total	Gene_Ratio	Ionization
GLYCINE BIOSYNTHESIS II	GLYCINE BIOSYNTHESIS II	0.0079743	3	8	0.375	negative
INOSINE-5'-PHOSPHATE BIOSYNTHESIS II	INOSINE-5'-PHOSPHATE BIOSYNTHESIS II	0.0079743	3	16	0.1875	negative
GLYCINE CLEAVAGE	GLYCINE CLEAVAGE	0.0079743	3	11	0.272727272727273	negative
GLYCINE BETAINE DEGRADATION	GLYCINE BETAINE DEGRADATION	0.0089829	4	18	0.222222222222222	negative
FOLATE TRANSFORMATIONS I	FOLATE TRANSFORMATIONS I	0.010289	5	26	0.192307692307692	negative
CITRULLINE-NITRIC OXIDE CYCLE	CITRULLINE-NITRIC OXIDE CYCLE	0.013085	2	14	0.142857142857143	negative
GLYCINE BIOSYNTHESIS I	GLYCINE BIOSYNTHESIS I	0.013085	2	5	0.4	negative
TAURINE BIOSYNTHESIS	TAURINE BIOSYNTHESIS	0.013085	2	10	0.2	negative
UBIQUINOL-10 BIOSYNTHESIS (EUKARYOTIC)	UBIQUINOL-10 BIOSYNTHESIS (EUKARYOTIC)	0.013085	2	21	0.0952380952380952	negative
TETRAHYDROFOLATE SALVAGE FROM 5,10-METHENYLTETRAHYDROFOLATE	TETRAHYDROFOLATE SALVAGE FROM 5,10-METHENYLTETRAHYDROFOLATE	0.013085	2	7	0.285714285714286	negative
ZYMOSTEROL BIOSYNTHESIS	ZYMOSTEROL BIOSYNTHESIS	0.013085	2	22	0.0909090909090909	negative
ANANDAMIDE DEGRADATION	ANANDAMIDE DEGRADATION	0.013085	2	4	0.5	negative
MELATONIN DEGRADATION I	MELATONIN DEGRADATION I	0.013085	2	15	0.133333333333333	negative
UREA CYCLE	UREA CYCLE	0.013085	2	17	0.117647058823529	negative
PROSTANOID BIOSYNTHESIS	PROSTANOID BIOSYNTHESIS	0.013832	7	10	0.7	negative
FOLATE POLYGLUTAMYLATION	FOLATE POLYGLUTAMYLATION	0.017094	3	14	0.214285714285714	negative
SEROTONIN AND MELATONIN BIOSYNTHESIS	SEROTONIN AND MELATONIN BIOSYNTHESIS	0.017094	3	14	0.214285714285714	negative
PALMITATE BIOSYNTHESIS I (ANIMALS)	PALMITATE BIOSYNTHESIS I (ANIMALS)	0.017094	3	38	0.0789473684210526	negative
DTMP <I>DE NOVO</I> BIOSYNTHESIS	DTMP <I>DE NOVO</I> BIOSYNTHESIS	0.017094	3	11	0.272727272727273	negative
EUMELANIN BIOSYNTHESIS	EUMELANIN BIOSYNTHESIS	0.017094	3	11	0.272727272727273	negative
FATTY ACID &ALPHA;-OXIDATION II	FATTY ACID &ALPHA;-OXIDATION II	0.017094	3	20	0.15	negative
BUPROPION DEGRADATION	BUPROPION DEGRADATION	0.017094	3	12	0.25	negative
TYROSINE DEGRADATION I	TYROSINE DEGRADATION I	0.018698	9	13	0.692307692307692	negative
HEME BIOSYNTHESIS FROM UROPORPHYRINOGEN-III I	HEME BIOSYNTHESIS FROM UROPORPHYRINOGEN-III I	0.021682	4	11	0.363636363636364	negative
CATECHOLAMINE BIOSYNTHESIS	CATECHOLAMINE BIOSYNTHESIS	0.021682	4	15	0.266666666666667	negative
ANDROGEN BIOSYNTHESIS	ANDROGEN BIOSYNTHESIS	0.021682	4	15	0.266666666666667	negative
EICOSAPENTAENOATE BIOSYNTHESIS II (METAZOA)	EICOSAPENTAENOATE BIOSYNTHESIS II (METAZOA)	0.021682	4	19	0.210526315789474	negative
L-CARNITINE BIOSYNTHESIS	L-CARNITINE BIOSYNTHESIS	0.021682	4	14	0.285714285714286	negative
DOPAMINE DEGRADATION	DOPAMINE DEGRADATION	0.021682	4	17	0.235294117647059	negative
HISTIDINE DEGRADATION III	HISTIDINE DEGRADATION III	0.021682	4	12	0.333333333333333	negative
LEUKOTRIENE BIOSYNTHESIS	LEUKOTRIENE BIOSYNTHESIS	0.026812	5	13	0.384615384615385	negative
MORPHINE BIOSYNTHESIS	MORPHINE BIOSYNTHESIS	0.026812	5	27	0.185185185185185	negative
(S)-RETICULINE BIOSYNTHESIS II	(S)-RETICULINE BIOSYNTHESIS II	0.026812	5	16	0.3125	negative
ACETONE DEGRADATION I (TO METHYLGLYOXAL)	ACETONE DEGRADATION I (TO METHYLGLYOXAL)	0.026812	5	13	0.384615384615385	negative
NICOTINE DEGRADATION III	NICOTINE DEGRADATION III	0.026812	5	26	0.192307692307692	negative
TCA CYCLE II (EUKARYOTIC)	TCA CYCLE II (EUKARYOTIC)	0.026812	5	21	0.238095238095238	negative
TRYPTOPHAN DEGRADATION X (MAMMALIAN, VIA TRYPTAMINE)	TRYPTOPHAN DEGRADATION X (MAMMALIAN, VIA TRYPTAMINE)	0.032437	6	15	0.4	negative
NORADRENALINE AND ADRENALINE DEGRADATION	NORADRENALINE AND ADRENALINE DEGRADATION	0.032437	6	20	0.3	negative
PHENYLALANINE DEGRADATION IV (MAMMALIAN, VIA SIDE CHAIN)	PHENYLALANINE DEGRADATION IV (MAMMALIAN, VIA SIDE CHAIN)	0.038506	7	28	0.25	negative
4-HYDROXYBENZOATE BIOSYNTHESIS	4-HYDROXYBENZOATE BIOSYNTHESIS	1	4	18	0.222222222222222	negative
HYPUSINE BIOSYNTHESIS	HYPUSINE BIOSYNTHESIS	1	1	10	0.1	negative
ARGININE BIOSYNTHESIS IV	ARGININE BIOSYNTHESIS IV	1	3	22	0.136363636363636	negative
GLUTAMATE DEGRADATION II	GLUTAMATE DEGRADATION II	1	2	7	0.285714285714286	negative
URACIL DEGRADATION II (REDUCTIVE)	URACIL DEGRADATION II (REDUCTIVE)	1	3	10	0.3	negative
METHIONINE SALVAGE II (MAMMALIA)	METHIONINE SALVAGE II (MAMMALIA)	1	2	6	0.333333333333333	negative
<I>S</I>-METHYL-5-THIO-&ALPHA;-D-RIBOSE 1-PHOSPHATE DEGRADATION	<I>S</I>-METHYL-5-THIO-&ALPHA;-D-RIBOSE 1-PHOSPHATE DEGRADATION	1	1	14	0.0714285714285714	negative
